S,22,T,prob,Connected,19,29,34,26,31,21,30,18,27,10,20,8,17,7,16,5,14,3,13,1,11,15,23,25
0,,1,0.1748,False,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
1,,1,0.1748,True,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
0,,0,0.3621,False,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,
1,,0,0.3621,False,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,
0,,0,0.3479,True,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,
1,,0,0.3479,True,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,
0,,0,0.1479,False,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,
1,,0,0.1479,False,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,
0,,0,0.14209999999999998,True,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
1,,0,0.14209999999999998,True,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
0,,1,0.3621,False,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,
1,,1,0.3621,False,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,
0,,1,0.3479,True,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,
1,,1,0.3479,True,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,
0,,1,0.1479,False,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,
1,,1,0.1479,False,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,
0,,1,0.14209999999999998,True,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
1,,1,0.14209999999999998,True,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
0,,0,0.43550000000000005,False,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
1,,0,0.43550000000000005,False,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
0,,0,0.21450000000000002,False,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,
1,,0,0.21450000000000002,False,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,
0,,0,0.2345,False,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,
1,,0,0.2345,True,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,
0,,0,0.11549999999999999,True,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
1,,0,0.11549999999999999,True,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
0,,1,0.43550000000000005,False,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
1,,1,0.43550000000000005,True,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
0,,1,0.21450000000000002,True,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,
1,,1,0.21450000000000002,True,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,
0,,1,0.2345,False,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,
1,,1,0.2345,True,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,
0,,1,0.11549999999999999,True,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
1,,1,0.11549999999999999,True,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
0,,0,0.3795,True,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1,,0,0.3795,True,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
0,,0,0.1705,False,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,
1,,0,0.1705,False,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,
0,,0,0.3105,True,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,
1,,0,0.3105,True,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,
0,,0,0.1395,False,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
1,,0,0.1395,False,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
0,,1,0.3795,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1,,1,0.3795,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
0,,1,0.1705,False,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,
1,,1,0.1705,False,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,
