0,,,0,0.11944800000000001,False,,,,,,,,,,,,,,1.0,1.0,0.0,,,
1,,,0,0.11944800000000001,False,,,,,,,,,,,,,,1.0,1.0,0.0,,,
0,,,0,0.077952,True,,,,,,,,,,,,,,0.0,0.0,1.0,,,
1,,,0,0.077952,True,,,,,,,,,,,,,,0.0,0.0,1.0,,,
0,,,0,0.043848,True,,,,,,,,,,,,,,1.0,0.0,1.0,,,
1,,,0,0.043848,True,,,,,,,,,,,,,,1.0,0.0,1.0,,,
0,,,0,0.05644799999999999,True,,,,,,,,,,,,,,0.0,1.0,1.0,,,
1,,,0,0.05644799999999999,True,,,,,,,,,,,,,,0.0,1.0,1.0,,,
0,,,0,0.031752,True,,,,,,,,,,,,,,1.0,1.0,1.0,,,
1,,,0,0.031752,True,,,,,,,,,,,,,,1.0,1.0,1.0,,,
0,,,1,0.293248,True,,,,,,,,,,,,,,0.0,0.0,0.0,,,
1,,,1,0.293248,True,,,,,,,,,,,,,,0.0,0.0,0.0,,,
0,,,1,0.164952,True,,,,,,,,,,,,,,1.0,0.0,0.0,,,
1,,,1,0.164952,True,,,,,,,,,,,,,,1.0,0.0,0.0,,,
0,,,1,0.21235199999999999,True,,,,,,,,,,,,,,0.0,1.0,0.0,,,
1,,,1,0.21235199999999999,True,,,,,,,,,,,,,,0.0,1.0,0.0,,,
0,,,1,0.11944800000000001,True,,,,,,,,,,,,,,1.0,1.0,0.0,,,
1,,,1,0.11944800000000001,True,,,,,,,,,,,,,,1.0,1.0,0.0,,,
0,,,1,0.077952,True,,,,,,,,,,,,,,0.0,0.0,1.0,,,
1,,,1,0.077952,True,,,,,,,,,,,,,,0.0,0.0,1.0,,,
0,,,1,0.043848,True,,,,,,,,,,,,,,1.0,0.0,1.0,,,
1,,,1,0.043848,True,,,,,,,,,,,,,,1.0,0.0,1.0,,,
0,,,1,0.05644799999999999,True,,,,,,,,,,,,,,0.0,1.0,1.0,,,
1,,,1,0.05644799999999999,True,,,,,,,,,,,,,,0.0,1.0,1.0,,,
0,,,1,0.031752,True,,,,,,,,,,,,,,1.0,1.0,1.0,,,
1,,,1,0.031752,True,,,,,,,,,,,,,,1.0,1.0,1.0,,,
0,,,0,0.29106,True,,,,,,,,,,,,,,,,,0.0,0.0,0.0
1,,,0,0.29106,True,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0,,,0,0.12474,True,,,,,,,,,,,,,,,,,1.0,0.0,0.0
1,,,0,0.12474,True,,,,,,,,,,,,,,,,,1.0,0.0,0.0
0,,,0,0.17094,False,,,,,,,,,,,,,,,,,0.0,1.0,0.0
1,,,0,0.17094,False,,,,,,,,,,,,,,,,,0.0,1.0,0.0
0,,,0,0.07326,False,,,,,,,,,,,,,,,,,1.0,1.0,0.0
1,,,0,0.07326,False,,,,,,,,,,,,,,,,,1.0,1.0,0.0
0,,,0,0.14994,True,,,,,,,,,,,,,,,,,0.0,0.0,1.0
1,,,0,0.14994,True,,,,,,,,,,,,,,,,,0.0,0.0,1.0
0,,,0,0.06426000000000001,True,,,,,,,,,,,,,,,,,1.0,0.0,1.0
1,,,0,0.06426000000000001,True,,,,,,,,,,,,,,,,,1.0,0.0,1.0
0,,,0,0.08806000000000001,True,,,,,,,,,,,,,,,,,0.0,1.0,1.0
1,,,0,0.08806000000000001,True,,,,,,,,,,,,,,,,,0.0,1.0,1.0
0,,,0,0.03774,True,,,,,,,,,,,,,,,,,1.0,1.0,1.0
1,,,0,0.03774,True,,,,,,,,,,,,,,,,,1.0,1.0,1.0
0,,,1,0.29106,False,,,,,,,,,,,,,,,,,0.0,0.0,0.0
1,,,1,0.29106,False,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0,,,1,0.12474,False,,,,,,,,,,,,,,,,,1.0,0.0,0.0
1,,,1,0.12474,False,,,,,,,,,,,,,,,,,1.0,0.0,0.0
0,,,1,0.17094,False,,,,,,,,,,,,,,,,,0.0,1.0,0.0
1,,,1,0.17094,False,,,,,,,,,,,,,,,,,0.0,1.0,0.0
0,,,1,0.07326,False,,,,,,,,,,,,,,,,,1.0,1.0,0.0
1,,,1,0.07326,False,,,,,,,,,,,,,,,,,1.0,1.0,0.0
0,,,1,0.14994,True,,,,,,,,,,,,,,,,,0.0,0.0,1.0
1,,,1,0.14994,True,,,,,,,,,,,,,,,,,0.0,0.0,1.0
0,,,1,0.06426000000000001,True,,,,,,,,,,,,,,,,,1.0,0.0,1.0
1,,,1,0.06426000000000001,True,,,,,,,,,,,,,,,,,1.0,0.0,1.0
0,,,1,0.08806000000000001,True,,,,,,,,,,,,,,,,,0.0,1.0,1.0
1,,,1,0.08806000000000001,True,,,,,,,,,,,,,,,,,0.0,1.0,1.0
0,,,1,0.03774,True,,,,,,,,,,,,,,,,,1.0,1.0,1.0
1,,,1,0.03774,True,,,,,,,,,,,,,,,,,1.0,1.0,1.0
