S,53,T,prob,Connected,52,47,43,39,38,26,25,18,8,5,2,57,60,41,59,40,56,30,54,29,48,22,49,20,45,15,34,14,37,6,27,31,32
1,,0,0.21,False,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.35,True,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.35,False,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.44,True,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.44,True,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.21,True,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.21,False,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.35,False,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.35,False,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.44,False,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.44,False,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.21,True,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.21,False,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.35,True,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.35,False,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.44,True,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.44,True,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.33,False,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.33,True,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.26,False,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.26,False,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.41,True,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.41,True,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.33,False,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.33,True,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.26,True,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.26,True,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.41,False,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.41,False,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.33,False,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.33,True,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.26,False,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.26,False,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.41,True,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.41,True,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.48,True,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.48,False,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.32,True,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.32,False,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.2,False,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.2,False,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.48,True,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.48,False,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.32,False,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.32,False,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.2,True,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.2,False,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.48,True,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.48,False,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.32,False,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.32,False,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.2,True,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.2,False,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.42,True,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.42,False,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.25,True,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.25,True,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.33,False,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.33,False,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.42,False,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.42,False,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.25,True,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.25,True,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.33,True,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.33,True,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.42,False,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.42,False,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.25,True,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.25,True,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.33,False,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.33,False,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.21760000000000002,False,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.21760000000000002,False,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.136,False,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.136,False,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.3264,False,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.3264,True,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.1024,False,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.1024,False,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.064,False,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.064,False,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.1536,False,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.1536,False,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.21760000000000002,False,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.21760000000000002,False,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.136,False,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.136,False,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.3264,False,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.3264,True,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.1024,False,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.1024,False,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.064,False,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.064,False,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.1536,False,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.1536,False,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,
0,,2,0.21760000000000002,False,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1,,2,0.21760000000000002,False,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
0,,2,0.136,False,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
1,,2,0.136,False,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
0,,2,0.3264,False,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,
1,,2,0.3264,True,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,
0,,2,0.1024,False,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,
1,,2,0.1024,False,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,
0,,2,0.064,False,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
1,,2,0.064,False,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
0,,2,0.1536,False,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,
1,,2,0.1536,False,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.0693,False,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
1,,0,0.0693,True,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
0,,0,0.21450000000000002,False,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,
1,,0,0.21450000000000002,True,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,
0,,0,0.046200000000000005,True,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,
1,,0,0.046200000000000005,True,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,
0,,0,0.1344,False,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,
1,,0,0.1344,False,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,
0,,0,0.41600000000000004,False,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
1,,0,0.41600000000000004,True,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
