S,1,3,6,T,prob,Connected
1,3,2,1,0,0.00014399999999999998,False
2,3,2,1,0,0.00014399999999999998,False
3,3,2,1,0,0.00014399999999999998,False
0,0,3,1,0,0.000216,False
1,0,3,1,0,0.000216,False
2,0,3,1,0,0.000216,False
3,0,3,1,0,0.000216,False
0,1,3,1,0,0.00035999999999999997,False
1,1,3,1,0,0.00035999999999999997,False
2,1,3,1,0,0.00035999999999999997,False
3,1,3,1,0,0.00035999999999999997,False
0,2,3,1,0,3.5999999999999994e-05,False
1,2,3,1,0,3.5999999999999994e-05,False
2,2,3,1,0,3.5999999999999994e-05,False
3,2,3,1,0,3.5999999999999994e-05,False
0,3,3,1,0,7.199999999999999e-05,False
1,3,3,1,0,7.199999999999999e-05,False
2,3,3,1,0,7.199999999999999e-05,False
3,3,3,1,0,7.199999999999999e-05,False
0,0,4,1,0,0.001224,False
1,0,4,1,0,0.001224,False
2,0,4,1,0,0.001224,False
3,0,4,1,0,0.001224,False
0,1,4,1,0,0.00204,False
1,1,4,1,0,0.00204,False
2,1,4,1,0,0.00204,False
3,1,4,1,0,0.00204,False
0,2,4,1,0,0.000204,False
1,2,4,1,0,0.000204,False
2,2,4,1,0,0.000204,False
3,2,4,1,0,0.000204,False
0,3,4,1,0,0.000408,False
1,3,4,1,0,0.000408,False
2,3,4,1,0,0.000408,False
3,3,4,1,0,0.000408,False
0,0,5,1,0,0.0025919999999999997,False
1,0,5,1,0,0.0025919999999999997,False
2,0,5,1,0,0.0025919999999999997,False
3,0,5,1,0,0.0025919999999999997,False
0,1,5,1,0,0.004319999999999999,False
1,1,5,1,0,0.004319999999999999,False
2,1,5,1,0,0.004319999999999999,False
3,1,5,1,0,0.004319999999999999,False
0,2,5,1,0,0.000432,False
1,2,5,1,0,0.000432,False
2,2,5,1,0,0.000432,False
3,2,5,1,0,0.000432,False
0,3,5,1,0,0.000864,False
1,3,5,1,0,0.000864,False
2,3,5,1,0,0.000864,False
3,3,5,1,0,0.000864,False
0,0,0,2,0,0.000216,False
1,0,0,2,0,0.000216,False
2,0,0,2,0,0.000216,False
3,0,0,2,0,0.000216,False
0,1,0,2,0,0.00035999999999999997,False
1,1,0,2,0,0.00035999999999999997,False
2,1,0,2,0,0.00035999999999999997,False
3,1,0,2,0,0.00035999999999999997,False
0,2,0,2,0,3.6e-05,False
1,2,0,2,0,3.6e-05,False
2,2,0,2,0,3.6e-05,False
3,2,0,2,0,3.6e-05,False
0,3,0,2,0,7.2e-05,False
1,3,0,2,0,7.2e-05,False
2,3,0,2,0,7.2e-05,False
3,3,0,2,0,7.2e-05,False
0,0,1,2,0,0.00024,True
1,0,1,2,0,0.00024,True
2,0,1,2,0,0.00024,True
3,0,1,2,0,0.00024,True
0,1,1,2,0,0.0004000000000000001,False
1,1,1,2,0,0.0004000000000000001,False
2,1,1,2,0,0.0004000000000000001,False
3,1,1,2,0,0.0004000000000000001,False
0,2,1,2,0,4e-05,False
1,2,1,2,0,4e-05,False
2,2,1,2,0,4e-05,False
3,2,1,2,0,4e-05,False
0,3,1,2,0,8e-05,False
1,3,1,2,0,8e-05,True
2,3,1,2,0,8e-05,False
3,3,1,2,0,8e-05,False
0,0,2,2,0,7.2e-05,True
1,0,2,2,0,7.2e-05,True
2,0,2,2,0,7.2e-05,True
3,0,2,2,0,7.2e-05,True
0,1,2,2,0,0.00012,False
1,1,2,2,0,0.00012,False
2,1,2,2,0,0.00012,False
3,1,2,2,0,0.00012,False
0,2,2,2,0,1.1999999999999999e-05,False
1,2,2,2,0,1.1999999999999999e-05,False
2,2,2,2,0,1.1999999999999999e-05,False
3,2,2,2,0,1.1999999999999999e-05,False
0,3,2,2,0,2.3999999999999997e-05,False
1,3,2,2,0,2.3999999999999997e-05,True
2,3,2,2,0,2.3999999999999997e-05,False
3,3,2,2,0,2.3999999999999997e-05,False
0,0,3,2,0,3.6e-05,True
1,0,3,2,0,3.6e-05,True
2,0,3,2,0,3.6e-05,True
3,0,3,2,0,3.6e-05,True
0,1,3,2,0,6e-05,False
1,1,3,2,0,6e-05,True
2,1,3,2,0,6e-05,True
3,1,3,2,0,6e-05,False
0,2,3,2,0,5.999999999999999e-06,False
1,2,3,2,0,5.999999999999999e-06,False
2,2,3,2,0,5.999999999999999e-06,False
3,2,3,2,0,5.999999999999999e-06,False
0,3,3,2,0,1.1999999999999999e-05,False
1,3,3,2,0,1.1999999999999999e-05,True
2,3,3,2,0,1.1999999999999999e-05,False
3,3,3,2,0,1.1999999999999999e-05,False
0,0,4,2,0,0.00020400000000000003,False
1,0,4,2,0,0.00020400000000000003,False
2,0,4,2,0,0.00020400000000000003,False
3,0,4,2,0,0.00020400000000000003,False
0,1,4,2,0,0.00034,False
1,1,4,2,0,0.00034,False
2,1,4,2,0,0.00034,False
3,1,4,2,0,0.00034,False
0,2,4,2,0,3.4000000000000007e-05,False
1,2,4,2,0,3.4000000000000007e-05,False
2,2,4,2,0,3.4000000000000007e-05,False
3,2,4,2,0,3.4000000000000007e-05,False
0,3,4,2,0,6.800000000000001e-05,False
1,3,4,2,0,6.800000000000001e-05,False
2,3,4,2,0,6.800000000000001e-05,False
3,3,4,2,0,6.800000000000001e-05,False
0,0,5,2,0,0.000432,True
1,0,5,2,0,0.000432,True
2,0,5,2,0,0.000432,True
3,0,5,2,0,0.000432,True
0,1,5,2,0,0.0007199999999999999,False
1,1,5,2,0,0.0007199999999999999,True
2,1,5,2,0,0.0007199999999999999,True
3,1,5,2,0,0.0007199999999999999,False
0,2,5,2,0,7.2e-05,False
1,2,5,2,0,7.2e-05,False
2,2,5,2,0,7.2e-05,False
3,2,5,2,0,7.2e-05,False
0,3,5,2,0,0.000144,False
1,3,5,2,0,0.000144,False
2,3,5,2,0,0.000144,False
3,3,5,2,0,0.000144,False
0,0,0,3,0,0.0006479999999999999,False
1,0,0,3,0,0.0006479999999999999,False
2,0,0,3,0,0.0006479999999999999,False
3,0,0,3,0,0.0006479999999999999,False
0,1,0,3,0,0.0010799999999999998,False
1,1,0,3,0,0.0010799999999999998,False
2,1,0,3,0,0.0010799999999999998,False
3,1,0,3,0,0.0010799999999999998,False
0,2,0,3,0,0.000108,False
1,2,0,3,0,0.000108,False
2,2,0,3,0,0.000108,False
3,2,0,3,0,0.000108,False
0,3,0,3,0,0.000216,False
1,3,0,3,0,0.000216,False
2,3,0,3,0,0.000216,False
3,3,0,3,0,0.000216,False
0,0,1,3,0,0.0007199999999999999,False
1,0,1,3,0,0.0007199999999999999,False
2,0,1,3,0,0.0007199999999999999,False
3,0,1,3,0,0.0007199999999999999,False
0,1,1,3,0,0.0012000000000000001,False
1,1,1,3,0,0.0012000000000000001,False
2,1,1,3,0,0.0012000000000000001,False
3,1,1,3,0,0.0012000000000000001,False
0,2,1,3,0,0.00012,False
1,2,1,3,0,0.00012,False
2,2,1,3,0,0.00012,False
3,2,1,3,0,0.00012,False
0,3,1,3,0,0.00024,False
1,3,1,3,0,0.00024,False
2,3,1,3,0,0.00024,False
3,3,1,3,0,0.00024,False
0,0,2,3,0,0.000216,False
1,0,2,3,0,0.000216,False
2,0,2,3,0,0.000216,False
3,0,2,3,0,0.000216,False
0,1,2,3,0,0.00035999999999999997,False
1,1,2,3,0,0.00035999999999999997,False
2,1,2,3,0,0.00035999999999999997,False
3,1,2,3,0,0.00035999999999999997,False
0,2,2,3,0,3.5999999999999994e-05,False
1,2,2,3,0,3.5999999999999994e-05,False
2,2,2,3,0,3.5999999999999994e-05,False
3,2,2,3,0,3.5999999999999994e-05,False
0,3,2,3,0,7.199999999999999e-05,False
1,3,2,3,0,7.199999999999999e-05,False
2,3,2,3,0,7.199999999999999e-05,False
3,3,2,3,0,7.199999999999999e-05,False
0,0,3,3,0,0.000108,False
1,0,3,3,0,0.000108,False
2,0,3,3,0,0.000108,False
3,0,3,3,0,0.000108,False
0,1,3,3,0,0.00017999999999999998,False
1,1,3,3,0,0.00017999999999999998,False
2,1,3,3,0,0.00017999999999999998,False
3,1,3,3,0,0.00017999999999999998,False
0,2,3,3,0,1.7999999999999997e-05,False
1,2,3,3,0,1.7999999999999997e-05,False
2,2,3,3,0,1.7999999999999997e-05,False
3,2,3,3,0,1.7999999999999997e-05,False
0,3,3,3,0,3.5999999999999994e-05,False
1,3,3,3,0,3.5999999999999994e-05,False
2,3,3,3,0,3.5999999999999994e-05,False
3,3,3,3,0,3.5999999999999994e-05,False
0,0,4,3,0,0.000612,False
1,0,4,3,0,0.000612,False
2,0,4,3,0,0.000612,False
3,0,4,3,0,0.000612,False
0,1,4,3,0,0.00102,False
1,1,4,3,0,0.00102,False
2,1,4,3,0,0.00102,False
3,1,4,3,0,0.00102,False
0,2,4,3,0,0.000102,False
1,2,4,3,0,0.000102,False
2,2,4,3,0,0.000102,False
3,2,4,3,0,0.000102,False
0,3,4,3,0,0.000204,False
1,3,4,3,0,0.000204,False
2,3,4,3,0,0.000204,False
3,3,4,3,0,0.000204,False
0,0,5,3,0,0.0012959999999999998,False
1,0,5,3,0,0.0012959999999999998,False
2,0,5,3,0,0.0012959999999999998,False
3,0,5,3,0,0.0012959999999999998,False
0,1,5,3,0,0.0021599999999999996,False
1,1,5,3,0,0.0021599999999999996,False
2,1,5,3,0,0.0021599999999999996,False
3,1,5,3,0,0.0021599999999999996,False
0,2,5,3,0,0.000216,False
1,2,5,3,0,0.000216,False
2,2,5,3,0,0.000216,False
3,2,5,3,0,0.000216,False
0,3,5,3,0,0.000432,False
1,3,5,3,0,0.000432,False
2,3,5,3,0,0.000432,False
3,3,5,3,0,0.000432,False
0,0,0,4,0,0.0012959999999999998,False
1,0,0,4,0,0.0012959999999999998,False
2,0,0,4,0,0.0012959999999999998,False
3,0,0,4,0,0.0012959999999999998,False
0,1,0,4,0,0.0021599999999999996,False
1,1,0,4,0,0.0021599999999999996,False
2,1,0,4,0,0.0021599999999999996,False
3,1,0,4,0,0.0021599999999999996,False
0,2,0,4,0,0.000216,False
1,2,0,4,0,0.000216,False
2,2,0,4,0,0.000216,False
3,2,0,4,0,0.000216,False
0,3,0,4,0,0.000432,False
1,3,0,4,0,0.000432,False
2,3,0,4,0,0.000432,False
3,3,0,4,0,0.000432,False
0,0,1,4,0,0.0014399999999999999,True
1,0,1,4,0,0.0014399999999999999,True
2,0,1,4,0,0.0014399999999999999,True
3,0,1,4,0,0.0014399999999999999,True
0,1,1,4,0,0.0024000000000000002,False
1,1,1,4,0,0.0024000000000000002,False
2,1,1,4,0,0.0024000000000000002,False
3,1,1,4,0,0.0024000000000000002,False
0,2,1,4,0,0.00024,False
1,2,1,4,0,0.00024,False
2,2,1,4,0,0.00024,False
3,2,1,4,0,0.00024,False
0,3,1,4,0,0.00048,False
1,3,1,4,0,0.00048,True
2,3,1,4,0,0.00048,False
3,3,1,4,0,0.00048,False
0,0,2,4,0,0.000432,True
1,0,2,4,0,0.000432,True
2,0,2,4,0,0.000432,True
3,0,2,4,0,0.000432,True
0,1,2,4,0,0.0007199999999999999,False
1,1,2,4,0,0.0007199999999999999,False
2,1,2,4,0,0.0007199999999999999,False
3,1,2,4,0,0.0007199999999999999,False
0,2,2,4,0,7.199999999999999e-05,False
1,2,2,4,0,7.199999999999999e-05,False
2,2,2,4,0,7.199999999999999e-05,False
3,2,2,4,0,7.199999999999999e-05,False
0,3,2,4,0,0.00014399999999999998,False
1,3,2,4,0,0.00014399999999999998,True
2,3,2,4,0,0.00014399999999999998,False
3,3,2,4,0,0.00014399999999999998,False
0,0,3,4,0,0.000216,True
1,0,3,4,0,0.000216,True
2,0,3,4,0,0.000216,True
3,0,3,4,0,0.000216,True
0,1,3,4,0,0.00035999999999999997,False
1,1,3,4,0,0.00035999999999999997,True
2,1,3,4,0,0.00035999999999999997,True
3,1,3,4,0,0.00035999999999999997,False
0,2,3,4,0,3.5999999999999994e-05,False
1,2,3,4,0,3.5999999999999994e-05,False
2,2,3,4,0,3.5999999999999994e-05,False
3,2,3,4,0,3.5999999999999994e-05,False
0,3,3,4,0,7.199999999999999e-05,False
1,3,3,4,0,7.199999999999999e-05,True
2,3,3,4,0,7.199999999999999e-05,False
3,3,3,4,0,7.199999999999999e-05,False
0,0,4,4,0,0.001224,True
1,0,4,4,0,0.001224,True
2,0,4,4,0,0.001224,True
3,0,4,4,0,0.001224,True
0,1,4,4,0,0.00204,False
1,1,4,4,0,0.00204,True
2,1,4,4,0,0.00204,True
3,1,4,4,0,0.00204,False
0,2,4,4,0,0.000204,False
1,2,4,4,0,0.000204,True
2,2,4,4,0,0.000204,True
3,2,4,4,0,0.000204,False
0,3,4,4,0,0.000408,False
1,3,4,4,0,0.000408,True
2,3,4,4,0,0.000408,False
3,3,4,4,0,0.000408,False
0,0,5,4,0,0.0025919999999999997,False
1,0,5,4,0,0.0025919999999999997,False
2,0,5,4,0,0.0025919999999999997,False
3,0,5,4,0,0.0025919999999999997,False
0,1,5,4,0,0.004319999999999999,False
1,1,5,4,0,0.004319999999999999,False
2,1,5,4,0,0.004319999999999999,False
3,1,5,4,0,0.004319999999999999,False
0,2,5,4,0,0.000432,False
1,2,5,4,0,0.000432,False
2,2,5,4,0,0.000432,False
3,2,5,4,0,0.000432,False
0,3,5,4,0,0.000864,False
1,3,5,4,0,0.000864,False
2,3,5,4,0,0.000864,False
3,3,5,4,0,0.000864,False
0,0,0,5,0,0.007344,True
1,0,0,5,0,0.007344,True
2,0,0,5,0,0.007344,True
3,0,0,5,0,0.007344,True
0,1,0,5,0,0.01224,False
1,1,0,5,0,0.01224,True
2,1,0,5,0,0.01224,True
3,1,0,5,0,0.01224,False
0,2,0,5,0,0.001224,False
1,2,0,5,0,0.001224,True
2,2,0,5,0,0.001224,True
3,2,0,5,0,0.001224,False
0,3,0,5,0,0.002448,False
1,3,0,5,0,0.002448,True
2,3,0,5,0,0.002448,False
3,3,0,5,0,0.002448,False
0,0,1,5,0,0.00816,True
1,0,1,5,0,0.00816,True
2,0,1,5,0,0.00816,True
3,0,1,5,0,0.00816,True
0,1,1,5,0,0.013600000000000004,False
1,1,1,5,0,0.013600000000000004,False
2,1,1,5,0,0.013600000000000004,False
3,1,1,5,0,0.013600000000000004,False
0,2,1,5,0,0.00136,False
1,2,1,5,0,0.00136,False
2,2,1,5,0,0.00136,False
3,2,1,5,0,0.00136,False
0,3,1,5,0,0.00272,False
1,3,1,5,0,0.00272,True
2,3,1,5,0,0.00272,False
3,3,1,5,0,0.00272,False
0,0,2,5,0,0.002448,False
1,0,2,5,0,0.002448,False
2,0,2,5,0,0.002448,False
3,0,2,5,0,0.002448,False
0,1,2,5,0,0.00408,False
1,1,2,5,0,0.00408,False
2,1,2,5,0,0.00408,False
3,1,2,5,0,0.00408,False
0,2,2,5,0,0.000408,False
1,2,2,5,0,0.000408,False
2,2,2,5,0,0.000408,False
3,2,2,5,0,0.000408,False
0,3,2,5,0,0.000816,False
1,3,2,5,0,0.000816,False
2,3,2,5,0,0.000816,False
3,3,2,5,0,0.000816,False
0,0,3,5,0,0.001224,True
1,0,3,5,0,0.001224,True
2,0,3,5,0,0.001224,True
3,0,3,5,0,0.001224,True
0,1,3,5,0,0.00204,False
1,1,3,5,0,0.00204,True
2,1,3,5,0,0.00204,True
3,1,3,5,0,0.00204,False
0,2,3,5,0,0.000204,False
1,2,3,5,0,0.000204,False
2,2,3,5,0,0.000204,False
3,2,3,5,0,0.000204,False
0,3,3,5,0,0.000408,False
1,3,3,5,0,0.000408,True
2,3,3,5,0,0.000408,False
3,3,3,5,0,0.000408,False
0,0,4,5,0,0.006936000000000001,False
1,0,4,5,0,0.006936000000000001,False
2,0,4,5,0,0.006936000000000001,False
3,0,4,5,0,0.006936000000000001,False
0,1,4,5,0,0.01156,False
1,1,4,5,0,0.01156,False
2,1,4,5,0,0.01156,False
3,1,4,5,0,0.01156,False
0,2,4,5,0,0.0011560000000000001,False
1,2,4,5,0,0.0011560000000000001,False
2,2,4,5,0,0.0011560000000000001,False
3,2,4,5,0,0.0011560000000000001,False
0,3,4,5,0,0.0023120000000000003,False
1,3,4,5,0,0.0023120000000000003,False
2,3,4,5,0,0.0023120000000000003,False
3,3,4,5,0,0.0023120000000000003,False
0,0,5,5,0,0.014688,True
1,0,5,5,0,0.014688,True
2,0,5,5,0,0.014688,True
3,0,5,5,0,0.014688,True
0,1,5,5,0,0.02448,False
1,1,5,5,0,0.02448,True
2,1,5,5,0,0.02448,True
3,1,5,5,0,0.02448,False
0,2,5,5,0,0.002448,False
1,2,5,5,0,0.002448,False
2,2,5,5,0,0.002448,False
3,2,5,5,0,0.002448,False
0,3,5,5,0,0.004896,False
1,3,5,5,0,0.004896,False
2,3,5,5,0,0.004896,False
3,3,5,5,0,0.004896,False
0,0,0,0,1,0.0,True
1,0,0,0,1,0.0,True
2,0,0,0,1,0.0,True
3,0,0,0,1,0.0,True
0,1,0,0,1,0.0,False
1,1,0,0,1,0.0,True
2,1,0,0,1,0.0,True
3,1,0,0,1,0.0,False
0,2,0,0,1,0.0,False
1,2,0,0,1,0.0,True
2,2,0,0,1,0.0,True
3,2,0,0,1,0.0,False
0,3,0,0,1,0.0,False
1,3,0,0,1,0.0,True
2,3,0,0,1,0.0,False
3,3,0,0,1,0.0,False
0,0,1,0,1,0.0,True
1,0,1,0,1,0.0,True
2,0,1,0,1,0.0,True
3,0,1,0,1,0.0,True
0,1,1,0,1,0.0,False
1,1,1,0,1,0.0,False
2,1,1,0,1,0.0,False
3,1,1,0,1,0.0,False
0,2,1,0,1,0.0,False
1,2,1,0,1,0.0,False
2,2,1,0,1,0.0,False
3,2,1,0,1,0.0,False
0,3,1,0,1,0.0,False
1,3,1,0,1,0.0,True
2,3,1,0,1,0.0,False
3,3,1,0,1,0.0,False
0,0,2,0,1,0.0,True
1,0,2,0,1,0.0,True
2,0,2,0,1,0.0,True
3,0,2,0,1,0.0,True
0,1,2,0,1,0.0,False
1,1,2,0,1,0.0,False
2,1,2,0,1,0.0,False
3,1,2,0,1,0.0,False
0,2,2,0,1,0.0,False
1,2,2,0,1,0.0,False
2,2,2,0,1,0.0,False
3,2,2,0,1,0.0,False
0,3,2,0,1,0.0,False
1,3,2,0,1,0.0,True
2,3,2,0,1,0.0,False
3,3,2,0,1,0.0,False
0,0,3,0,1,0.0,True
1,0,3,0,1,0.0,True
2,0,3,0,1,0.0,True
3,0,3,0,1,0.0,True
0,1,3,0,1,0.0,False
1,1,3,0,1,0.0,True
2,1,3,0,1,0.0,True
3,1,3,0,1,0.0,False
0,2,3,0,1,0.0,False
1,2,3,0,1,0.0,False
2,2,3,0,1,0.0,False
3,2,3,0,1,0.0,False
0,3,3,0,1,0.0,False
1,3,3,0,1,0.0,True
2,3,3,0,1,0.0,False
3,3,3,0,1,0.0,False
0,0,4,0,1,0.0,True
1,0,4,0,1,0.0,True
2,0,4,0,1,0.0,True
3,0,4,0,1,0.0,True
0,1,4,0,1,0.0,False
1,1,4,0,1,0.0,True
2,1,4,0,1,0.0,True
3,1,4,0,1,0.0,False
0,2,4,0,1,0.0,False
1,2,4,0,1,0.0,True
2,2,4,0,1,0.0,True
3,2,4,0,1,0.0,False
0,3,4,0,1,0.0,False
1,3,4,0,1,0.0,True
2,3,4,0,1,0.0,False
3,3,4,0,1,0.0,False
0,0,5,0,1,0.0,True
1,0,5,0,1,0.0,True
2,0,5,0,1,0.0,True
3,0,5,0,1,0.0,True
0,1,5,0,1,0.0,False
1,1,5,0,1,0.0,True
2,1,5,0,1,0.0,True
3,1,5,0,1,0.0,False
0,2,5,0,1,0.0,False
1,2,5,0,1,0.0,False
2,2,5,0,1,0.0,False
3,2,5,0,1,0.0,False
0,3,5,0,1,0.0,False
1,3,5,0,1,0.0,False
2,3,5,0,1,0.0,False
3,3,5,0,1,0.0,False
0,0,0,1,1,0.0012959999999999998,True
1,0,0,1,1,0.0012959999999999998,True
2,0,0,1,1,0.0012959999999999998,True
3,0,0,1,1,0.0012959999999999998,True
0,1,0,1,1,0.0021599999999999996,False
1,1,0,1,1,0.0021599999999999996,True
2,1,0,1,1,0.0021599999999999996,True
3,1,0,1,1,0.0021599999999999996,False
0,2,0,1,1,0.000216,False
1,2,0,1,1,0.000216,True
2,2,0,1,1,0.000216,True
3,2,0,1,1,0.000216,False
0,3,0,1,1,0.000432,False
1,3,0,1,1,0.000432,True
2,3,0,1,1,0.000432,False
3,3,0,1,1,0.000432,False
0,0,1,1,1,0.0014399999999999999,True
1,0,1,1,1,0.0014399999999999999,True
2,0,1,1,1,0.0014399999999999999,True
3,0,1,1,1,0.0014399999999999999,True
0,1,1,1,1,0.0024000000000000002,False
1,1,1,1,1,0.0024000000000000002,False
2,1,1,1,1,0.0024000000000000002,False
3,1,1,1,1,0.0024000000000000002,False
0,2,1,1,1,0.00024,False
1,2,1,1,1,0.00024,False
2,2,1,1,1,0.00024,False
3,2,1,1,1,0.00024,False
0,3,1,1,1,0.00048,False
1,3,1,1,1,0.00048,True
2,3,1,1,1,0.00048,False
3,3,1,1,1,0.00048,False
0,0,2,1,1,0.000432,False
1,0,2,1,1,0.000432,False
2,0,2,1,1,0.000432,False
3,0,2,1,1,0.000432,False
0,1,2,1,1,0.0007199999999999999,False
1,1,2,1,1,0.0007199999999999999,False
2,1,2,1,1,0.0007199999999999999,False
3,1,2,1,1,0.0007199999999999999,False
0,2,2,1,1,7.199999999999999e-05,False
1,2,2,1,1,7.199999999999999e-05,False
2,2,2,1,1,7.199999999999999e-05,False
3,2,2,1,1,7.199999999999999e-05,False
0,3,2,1,1,0.00014399999999999998,False
1,3,2,1,1,0.00014399999999999998,False
2,3,2,1,1,0.00014399999999999998,False
3,3,2,1,1,0.00014399999999999998,False
0,0,3,1,1,0.000216,True
1,0,3,1,1,0.000216,True
2,0,3,1,1,0.000216,True
3,0,3,1,1,0.000216,True
0,1,3,1,1,0.00035999999999999997,False
1,1,3,1,1,0.00035999999999999997,True
2,1,3,1,1,0.00035999999999999997,True
3,1,3,1,1,0.00035999999999999997,False
0,2,3,1,1,3.5999999999999994e-05,False
1,2,3,1,1,3.5999999999999994e-05,False
2,2,3,1,1,3.5999999999999994e-05,False
3,2,3,1,1,3.5999999999999994e-05,False
0,3,3,1,1,7.199999999999999e-05,False
1,3,3,1,1,7.199999999999999e-05,True
2,3,3,1,1,7.199999999999999e-05,False
3,3,3,1,1,7.199999999999999e-05,False
0,0,4,1,1,0.001224,True
1,0,4,1,1,0.001224,True
2,0,4,1,1,0.001224,True
3,0,4,1,1,0.001224,True
0,1,4,1,1,0.00204,False
1,1,4,1,1,0.00204,True
2,1,4,1,1,0.00204,True
3,1,4,1,1,0.00204,False
0,2,4,1,1,0.000204,False
1,2,4,1,1,0.000204,True
2,2,4,1,1,0.000204,True
3,2,4,1,1,0.000204,False
0,3,4,1,1,0.000408,False
1,3,4,1,1,0.000408,True
2,3,4,1,1,0.000408,False
3,3,4,1,1,0.000408,False
0,0,5,1,1,0.0025919999999999997,True
