S,67,T,prob,Connected,64,59,58,54,50,44,35,30,26,24,23,22,20,17,15,13,12,8,2,63,65,61,62,45,46,40,42,31,38,19,32,9,27,6,21,4,14,1,7
0,,0,0.3,True,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.3,True,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.64,False,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.64,True,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.06,False,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.06,False,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.3,False,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.3,False,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.64,False,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.64,False,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.06,True,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.06,False,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.31,False,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.31,True,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.69,True,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.69,False,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.31,False,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.31,False,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.69,False,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.69,False,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.31,True,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.31,True,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.38,True,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.38,True,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.31,False,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.31,True,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.31,False,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.31,False,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.38,False,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.38,False,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.31,False,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.31,True,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.56,True,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
