0,,1,0.11599999999999999,True,,,1.0,1.0,,,,,,,,,,,,,,,,,,
1,,1,0.11599999999999999,True,,,1.0,1.0,,,,,,,,,,,,,,,,,,
0,,0,0.3186,False,,,,,0.0,0.0,,,,,,,,,,,,,,,,
1,,0,0.3186,False,,,,,0.0,0.0,,,,,,,,,,,,,,,,
0,,0,0.2714,False,,,,,1.0,0.0,,,,,,,,,,,,,,,,
1,,0,0.2714,False,,,,,1.0,0.0,,,,,,,,,,,,,,,,
0,,0,0.2214,False,,,,,0.0,1.0,,,,,,,,,,,,,,,,
1,,0,0.2214,False,,,,,0.0,1.0,,,,,,,,,,,,,,,,
0,,0,0.1886,False,,,,,1.0,1.0,,,,,,,,,,,,,,,,
1,,0,0.1886,False,,,,,1.0,1.0,,,,,,,,,,,,,,,,
0,,1,0.3186,False,,,,,0.0,0.0,,,,,,,,,,,,,,,,
1,,1,0.3186,False,,,,,0.0,0.0,,,,,,,,,,,,,,,,
0,,1,0.2714,False,,,,,1.0,0.0,,,,,,,,,,,,,,,,
1,,1,0.2714,False,,,,,1.0,0.0,,,,,,,,,,,,,,,,
0,,1,0.2214,False,,,,,0.0,1.0,,,,,,,,,,,,,,,,
1,,1,0.2214,False,,,,,0.0,1.0,,,,,,,,,,,,,,,,
0,,1,0.1886,True,,,,,1.0,1.0,,,,,,,,,,,,,,,,
1,,1,0.1886,False,,,,,1.0,1.0,,,,,,,,,,,,,,,,
0,,0,0.3876,False,,,,,,,0.0,0.0,,,,,,,,,,,,,,
1,,0,0.3876,False,,,,,,,0.0,0.0,,,,,,,,,,,,,,
0,,0,0.1224,False,,,,,,,1.0,0.0,,,,,,,,,,,,,,
1,,0,0.1224,False,,,,,,,1.0,0.0,,,,,,,,,,,,,,
0,,0,0.3724,False,,,,,,,0.0,1.0,,,,,,,,,,,,,,
1,,0,0.3724,False,,,,,,,0.0,1.0,,,,,,,,,,,,,,
0,,0,0.1176,False,,,,,,,1.0,1.0,,,,,,,,,,,,,,
1,,0,0.1176,False,,,,,,,1.0,1.0,,,,,,,,,,,,,,
0,,1,0.3876,True,,,,,,,0.0,0.0,,,,,,,,,,,,,,
1,,1,0.3876,True,,,,,,,0.0,0.0,,,,,,,,,,,,,,
0,,1,0.1224,True,,,,,,,1.0,0.0,,,,,,,,,,,,,,
1,,1,0.1224,False,,,,,,,1.0,0.0,,,,,,,,,,,,,,
0,,1,0.3724,False,,,,,,,0.0,1.0,,,,,,,,,,,,,,
1,,1,0.3724,False,,,,,,,0.0,1.0,,,,,,,,,,,,,,
0,,1,0.1176,False,,,,,,,1.0,1.0,,,,,,,,,,,,,,
1,,1,0.1176,False,,,,,,,1.0,1.0,,,,,,,,,,,,,,
0,,0,0.4392,True,,,,,,,,,0.0,0.0,,,,,,,,,,,,
1,,0,0.4392,False,,,,,,,,,0.0,0.0,,,,,,,,,,,,
0,,0,0.1708,True,,,,,,,,,1.0,0.0,,,,,,,,,,,,
1,,0,0.1708,True,,,,,,,,,1.0,0.0,,,,,,,,,,,,
0,,0,0.2808,True,,,,,,,,,0.0,1.0,,,,,,,,,,,,
1,,0,0.2808,False,,,,,,,,,0.0,1.0,,,,,,,,,,,,
0,,0,0.10920000000000002,True,,,,,,,,,1.0,1.0,,,,,,,,,,,,
1,,0,0.10920000000000002,True,,,,,,,,,1.0,1.0,,,,,,,,,,,,
0,,1,0.4392,False,,,,,,,,,0.0,0.0,,,,,,,,,,,,
1,,1,0.4392,False,,,,,,,,,0.0,0.0,,,,,,,,,,,,
0,,1,0.1708,False,,,,,,,,,1.0,0.0,,,,,,,,,,,,
1,,1,0.1708,False,,,,,,,,,1.0,0.0,,,,,,,,,,,,
0,,1,0.2808,False,,,,,,,,,0.0,1.0,,,,,,,,,,,,
1,,1,0.2808,False,,,,,,,,,0.0,1.0,,,,,,,,,,,,
0,,1,0.10920000000000002,False,,,,,,,,,1.0,1.0,,,,,,,,,,,,
1,,1,0.10920000000000002,False,,,,,,,,,1.0,1.0,,,,,,,,,,,,
0,,0,0.3366,True,,,,,,,,,,,0.0,0.0,,,,,,,,,,
1,,0,0.3366,False,,,,,,,,,,,0.0,0.0,,,,,,,,,,
0,,0,0.3234,True,,,,,,,,,,,1.0,0.0,,,,,,,,,,
1,,0,0.3234,True,,,,,,,,,,,1.0,0.0,,,,,,,,,,
0,,0,0.17340000000000003,True,,,,,,,,,,,0.0,1.0,,,,,,,,,,
1,,0,0.17340000000000003,False,,,,,,,,,,,0.0,1.0,,,,,,,,,,
0,,0,0.1666,True,,,,,,,,,,,1.0,1.0,,,,,,,,,,
1,,0,0.1666,True,,,,,,,,,,,1.0,1.0,,,,,,,,,,
0,,1,0.3366,True,,,,,,,,,,,0.0,0.0,,,,,,,,,,
1,,1,0.3366,False,,,,,,,,,,,0.0,0.0,,,,,,,,,,
0,,1,0.3234,True,,,,,,,,,,,1.0,0.0,,,,,,,,,,
1,,1,0.3234,True,,,,,,,,,,,1.0,0.0,,,,,,,,,,
0,,1,0.17340000000000003,False,,,,,,,,,,,0.0,1.0,,,,,,,,,,
1,,1,0.17340000000000003,False,,,,,,,,,,,0.0,1.0,,,,,,,,,,
0,,1,0.1666,False,,,,,,,,,,,1.0,1.0,,,,,,,,,,
1,,1,0.1666,False,,,,,,,,,,,1.0,1.0,,,,,,,,,,
0,,0,0.28600000000000003,False,,,,,,,,,,,,,0.0,0.0,,,,,,,,
1,,0,0.28600000000000003,False,,,,,,,,,,,,,0.0,0.0,,,,,,,,
0,,0,0.264,False,,,,,,,,,,,,,1.0,0.0,,,,,,,,
1,,0,0.264,False,,,,,,,,,,,,,1.0,0.0,,,,,,,,
0,,0,0.234,False,,,,,,,,,,,,,0.0,1.0,,,,,,,,
1,,0,0.234,False,,,,,,,,,,,,,0.0,1.0,,,,,,,,
0,,0,0.216,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,
1,,0,0.216,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,
0,,1,0.28600000000000003,True,,,,,,,,,,,,,0.0,0.0,,,,,,,,
1,,1,0.28600000000000003,False,,,,,,,,,,,,,0.0,0.0,,,,,,,,
0,,1,0.264,True,,,,,,,,,,,,,1.0,0.0,,,,,,,,
1,,1,0.264,True,,,,,,,,,,,,,1.0,0.0,,,,,,,,
0,,1,0.234,False,,,,,,,,,,,,,0.0,1.0,,,,,,,,
1,,1,0.234,False,,,,,,,,,,,,,0.0,1.0,,,,,,,,
0,,1,0.216,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,
1,,1,0.216,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,
0,,0,0.45139999999999997,True,,,,,,,,,,,,,,,0.0,0.0,,,,,,
1,,0,0.45139999999999997,False,,,,,,,,,,,,,,,0.0,0.0,,,,,,
0,,0,0.2886,True,,,,,,,,,,,,,,,1.0,0.0,,,,,,
1,,0,0.2886,True,,,,,,,,,,,,,,,1.0,0.0,,,,,,
0,,0,0.1586,False,,,,,,,,,,,,,,,0.0,1.0,,,,,,
1,,0,0.1586,False,,,,,,,,,,,,,,,0.0,1.0,,,,,,
0,,0,0.1014,True,,,,,,,,,,,,,,,1.0,1.0,,,,,,
1,,0,0.1014,True,,,,,,,,,,,,,,,1.0,1.0,,,,,,
0,,1,0.45139999999999997,False,,,,,,,,,,,,,,,0.0,0.0,,,,,,
1,,1,0.45139999999999997,False,,,,,,,,,,,,,,,0.0,0.0,,,,,,
0,,1,0.2886,False,,,,,,,,,,,,,,,1.0,0.0,,,,,,
1,,1,0.2886,False,,,,,,,,,,,,,,,1.0,0.0,,,,,,
0,,1,0.1586,False,,,,,,,,,,,,,,,0.0,1.0,,,,,,
1,,1,0.1586,False,,,,,,,,,,,,,,,0.0,1.0,,,,,,
0,,1,0.1014,False,,,,,,,,,,,,,,,1.0,1.0,,,,,,
1,,1,0.1014,False,,,,,,,,,,,,,,,1.0,1.0,,,,,,
0,,0,0.43450000000000005,True,,,,,,,,,,,,,,,,,0.0,0.0,,,,
1,,0,0.43450000000000005,False,,,,,,,,,,,,,,,,,0.0,0.0,,,,
0,,0,0.1155,False,,,,,,,,,,,,,,,,,1.0,0.0,,,,
1,,0,0.1155,True,,,,,,,,,,,,,,,,,1.0,0.0,,,,
0,,0,0.35550000000000004,False,,,,,,,,,,,,,,,,,0.0,1.0,,,,
1,,0,0.35550000000000004,False,,,,,,,,,,,,,,,,,0.0,1.0,,,,
0,,0,0.0945,False,,,,,,,,,,,,,,,,,1.0,1.0,,,,
1,,0,0.0945,False,,,,,,,,,,,,,,,,,1.0,1.0,,,,
0,,1,0.43450000000000005,False,,,,,,,,,,,,,,,,,0.0,0.0,,,,
1,,1,0.43450000000000005,False,,,,,,,,,,,,,,,,,0.0,0.0,,,,
0,,1,0.1155,False,,,,,,,,,,,,,,,,,1.0,0.0,,,,
1,,1,0.1155,False,,,,,,,,,,,,,,,,,1.0,0.0,,,,
0,,1,0.35550000000000004,False,,,,,,,,,,,,,,,,,0.0,1.0,,,,
1,,1,0.35550000000000004,False,,,,,,,,,,,,,,,,,0.0,1.0,,,,
0,,1,0.0945,False,,,,,,,,,,,,,,,,,1.0,1.0,,,,
1,,1,0.0945,False,,,,,,,,,,,,,,,,,1.0,1.0,,,,
0,,0,0.39,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,
1,,0,0.39,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,
0,,0,0.36,False,,,,,,,,,,,,,,,,,,,1.0,0.0,,
1,,0,0.36,False,,,,,,,,,,,,,,,,,,,1.0,0.0,,
0,,0,0.13,False,,,,,,,,,,,,,,,,,,,0.0,1.0,,
1,,0,0.13,False,,,,,,,,,,,,,,,,,,,0.0,1.0,,
0,,0,0.12,False,,,,,,,,,,,,,,,,,,,1.0,1.0,,
1,,0,0.12,False,,,,,,,,,,,,,,,,,,,1.0,1.0,,
0,,1,0.39,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,
1,,1,0.39,True,,,,,,,,,,,,,,,,,,,0.0,0.0,,
0,,1,0.36,False,,,,,,,,,,,,,,,,,,,1.0,0.0,,
1,,1,0.36,True,,,,,,,,,,,,,,,,,,,1.0,0.0,,
0,,1,0.13,False,,,,,,,,,,,,,,,,,,,0.0,1.0,,
1,,1,0.13,True,,,,,,,,,,,,,,,,,,,0.0,1.0,,
0,,1,0.12,False,,,,,,,,,,,,,,,,,,,1.0,1.0,,
1,,1,0.12,True,,,,,,,,,,,,,,,,,,,1.0,1.0,,
0,,0,0.3009,True,,,,,,,,,,,,,,,,,,,,,0.0,0.0
1,,0,0.3009,True,,,,,,,,,,,,,,,,,,,,,0.0,0.0
0,,0,0.28909999999999997,False,,,,,,,,,,,,,,,,,,,,,1.0,0.0
1,,0,0.28909999999999997,False,,,,,,,,,,,,,,,,,,,,,1.0,0.0
0,,0,0.20909999999999998,False,,,,,,,,,,,,,,,,,,,,,0.0,1.0
1,,0,0.20909999999999998,False,,,,,,,,,,,,,,,,,,,,,0.0,1.0
0,,0,0.2009,False,,,,,,,,,,,,,,,,,,,,,1.0,1.0
1,,0,0.2009,False,,,,,,,,,,,,,,,,,,,,,1.0,1.0
0,,1,0.3009,False,,,,,,,,,,,,,,,,,,,,,0.0,0.0
1,,1,0.3009,False,,,,,,,,,,,,,,,,,,,,,0.0,0.0
0,,1,0.28909999999999997,False,,,,,,,,,,,,,,,,,,,,,1.0,0.0
1,,1,0.28909999999999997,False,,,,,,,,,,,,,,,,,,,,,1.0,0.0
0,,1,0.20909999999999998,False,,,,,,,,,,,,,,,,,,,,,0.0,1.0
1,,1,0.20909999999999998,False,,,,,,,,,,,,,,,,,,,,,0.0,1.0
0,,1,0.2009,False,,,,,,,,,,,,,,,,,,,,,1.0,1.0
1,,1,0.2009,False,,,,,,,,,,,,,,,,,,,,,1.0,1.0
