S,41,51,T,prob,Connected,39,49,31,42,30,33,24,32,23,29,18,21,7,16,5,15,1,10,37,47,48
2,,,2,0.14850000000000002,True,1.0,0.0,,,,,,,,,,,,,,,,,,,
0,,,2,0.135,False,0.0,1.0,,,,,,,,,,,,,,,,,,,
1,,,2,0.135,False,0.0,1.0,,,,,,,,,,,,,,,,,,,
2,,,2,0.135,True,0.0,1.0,,,,,,,,,,,,,,,,,,,
0,,,2,0.165,True,1.0,1.0,,,,,,,,,,,,,,,,,,,
1,,,2,0.165,True,1.0,1.0,,,,,,,,,,,,,,,,,,,
2,,,2,0.165,True,1.0,1.0,,,,,,,,,,,,,,,,,,,
0,,,2,0.1935,False,0.0,2.0,,,,,,,,,,,,,,,,,,,
1,,,2,0.1935,False,0.0,2.0,,,,,,,,,,,,,,,,,,,
2,,,2,0.1935,True,0.0,2.0,,,,,,,,,,,,,,,,,,,
0,,,2,0.23650000000000002,True,1.0,2.0,,,,,,,,,,,,,,,,,,,
1,,,2,0.23650000000000002,True,1.0,2.0,,,,,,,,,,,,,,,,,,,
2,,,2,0.23650000000000002,True,1.0,2.0,,,,,,,,,,,,,,,,,,,
0,,,0,0.2646,False,,,0.0,0.0,,,,,,,,,,,,,,,,,
1,,,0,0.2646,True,,,0.0,0.0,,,,,,,,,,,,,,,,,
2,,,0,0.2646,False,,,0.0,0.0,,,,,,,,,,,,,,,,,
0,,,0,0.22540000000000002,False,,,1.0,0.0,,,,,,,,,,,,,,,,,
1,,,0,0.22540000000000002,False,,,1.0,0.0,,,,,,,,,,,,,,,,,
2,,,0,0.22540000000000002,False,,,1.0,0.0,,,,,,,,,,,,,,,,,
0,,,0,0.2106,False,,,0.0,1.0,,,,,,,,,,,,,,,,,
1,,,0,0.2106,True,,,0.0,1.0,,,,,,,,,,,,,,,,,
2,,,0,0.2106,False,,,0.0,1.0,,,,,,,,,,,,,,,,,
0,,,0,0.1794,True,,,1.0,1.0,,,,,,,,,,,,,,,,,
1,,,0,0.1794,True,,,1.0,1.0,,,,,,,,,,,,,,,,,
2,,,0,0.1794,False,,,1.0,1.0,,,,,,,,,,,,,,,,,
0,,,0,0.0648,False,,,0.0,2.0,,,,,,,,,,,,,,,,,
1,,,0,0.0648,True,,,0.0,2.0,,,,,,,,,,,,,,,,,
2,,,0,0.0648,False,,,0.0,2.0,,,,,,,,,,,,,,,,,
0,,,0,0.0552,False,,,1.0,2.0,,,,,,,,,,,,,,,,,
1,,,0,0.0552,False,,,1.0,2.0,,,,,,,,,,,,,,,,,
2,,,0,0.0552,False,,,1.0,2.0,,,,,,,,,,,,,,,,,
0,,,1,0.2646,False,,,0.0,0.0,,,,,,,,,,,,,,,,,
1,,,1,0.2646,True,,,0.0,0.0,,,,,,,,,,,,,,,,,
2,,,1,0.2646,False,,,0.0,0.0,,,,,,,,,,,,,,,,,
0,,,1,0.22540000000000002,False,,,1.0,0.0,,,,,,,,,,,,,,,,,
1,,,1,0.22540000000000002,False,,,1.0,0.0,,,,,,,,,,,,,,,,,
2,,,1,0.22540000000000002,False,,,1.0,0.0,,,,,,,,,,,,,,,,,
0,,,1,0.2106,False,,,0.0,1.0,,,,,,,,,,,,,,,,,
1,,,1,0.2106,False,,,0.0,1.0,,,,,,,,,,,,,,,,,
2,,,1,0.2106,False,,,0.0,1.0,,,,,,,,,,,,,,,,,
0,,,1,0.1794,False,,,1.0,1.0,,,,,,,,,,,,,,,,,
1,,,1,0.1794,False,,,1.0,1.0,,,,,,,,,,,,,,,,,
2,,,1,0.1794,False,,,1.0,1.0,,,,,,,,,,,,,,,,,
0,,,1,0.0648,False,,,0.0,2.0,,,,,,,,,,,,,,,,,
1,,,1,0.0648,True,,,0.0,2.0,,,,,,,,,,,,,,,,,
2,,,1,0.0648,False,,,0.0,2.0,,,,,,,,,,,,,,,,,
0,,,1,0.0552,False,,,1.0,2.0,,,,,,,,,,,,,,,,,
1,,,1,0.0552,False,,,1.0,2.0,,,,,,,,,,,,,,,,,
2,,,1,0.0552,False,,,1.0,2.0,,,,,,,,,,,,,,,,,
0,,,2,0.2646,False,,,0.0,0.0,,,,,,,,,,,,,,,,,
1,,,2,0.2646,False,,,0.0,0.0,,,,,,,,,,,,,,,,,
2,,,2,0.2646,False,,,0.0,0.0,,,,,,,,,,,,,,,,,
0,,,2,0.22540000000000002,False,,,1.0,0.0,,,,,,,,,,,,,,,,,
1,,,2,0.22540000000000002,False,,,1.0,0.0,,,,,,,,,,,,,,,,,
2,,,2,0.22540000000000002,False,,,1.0,0.0,,,,,,,,,,,,,,,,,
0,,,2,0.2106,False,,,0.0,1.0,,,,,,,,,,,,,,,,,
1,,,2,0.2106,False,,,0.0,1.0,,,,,,,,,,,,,,,,,
2,,,2,0.2106,False,,,0.0,1.0,,,,,,,,,,,,,,,,,
0,,,2,0.1794,False,,,1.0,1.0,,,,,,,,,,,,,,,,,
1,,,2,0.1794,False,,,1.0,1.0,,,,,,,,,,,,,,,,,
2,,,2,0.1794,False,,,1.0,1.0,,,,,,,,,,,,,,,,,
0,,,2,0.0648,False,,,0.0,2.0,,,,,,,,,,,,,,,,,
1,,,2,0.0648,True,,,0.0,2.0,,,,,,,,,,,,,,,,,
2,,,2,0.0648,False,,,0.0,2.0,,,,,,,,,,,,,,,,,
0,,,2,0.0552,False,,,1.0,2.0,,,,,,,,,,,,,,,,,
1,,,2,0.0552,False,,,1.0,2.0,,,,,,,,,,,,,,,,,
2,,,2,0.0552,False,,,1.0,2.0,,,,,,,,,,,,,,,,,
0,,,0,0.3654,True,,,,,0.0,0.0,,,,,,,,,,,,,,,
1,,,0,0.3654,True,,,,,0.0,0.0,,,,,,,,,,,,,,,
2,,,0,0.3654,True,,,,,0.0,0.0,,,,,,,,,,,,,,,
0,,,0,0.2646,False,,,,,1.0,0.0,,,,,,,,,,,,,,,
1,,,0,0.2646,False,,,,,1.0,0.0,,,,,,,,,,,,,,,
2,,,0,0.2646,False,,,,,1.0,0.0,,,,,,,,,,,,,,,
0,,,0,0.21459999999999999,False,,,,,0.0,1.0,,,,,,,,,,,,,,,
1,,,0,0.21459999999999999,False,,,,,0.0,1.0,,,,,,,,,,,,,,,
2,,,0,0.21459999999999999,False,,,,,0.0,1.0,,,,,,,,,,,,,,,
0,,,0,0.15539999999999998,False,,,,,1.0,1.0,,,,,,,,,,,,,,,
1,,,0,0.15539999999999998,False,,,,,1.0,1.0,,,,,,,,,,,,,,,
2,,,0,0.15539999999999998,False,,,,,1.0,1.0,,,,,,,,,,,,,,,
0,,,1,0.3654,True,,,,,0.0,0.0,,,,,,,,,,,,,,,
1,,,1,0.3654,True,,,,,0.0,0.0,,,,,,,,,,,,,,,
2,,,1,0.3654,True,,,,,0.0,0.0,,,,,,,,,,,,,,,
0,,,1,0.2646,False,,,,,1.0,0.0,,,,,,,,,,,,,,,
1,,,1,0.2646,False,,,,,1.0,0.0,,,,,,,,,,,,,,,
2,,,1,0.2646,False,,,,,1.0,0.0,,,,,,,,,,,,,,,
0,,,1,0.21459999999999999,False,,,,,0.0,1.0,,,,,,,,,,,,,,,
1,,,1,0.21459999999999999,False,,,,,0.0,1.0,,,,,,,,,,,,,,,
2,,,1,0.21459999999999999,False,,,,,0.0,1.0,,,,,,,,,,,,,,,
0,,,1,0.15539999999999998,False,,,,,1.0,1.0,,,,,,,,,,,,,,,
1,,,1,0.15539999999999998,False,,,,,1.0,1.0,,,,,,,,,,,,,,,
2,,,1,0.15539999999999998,False,,,,,1.0,1.0,,,,,,,,,,,,,,,
0,,,2,0.3654,True,,,,,0.0,0.0,,,,,,,,,,,,,,,
1,,,2,0.3654,True,,,,,0.0,0.0,,,,,,,,,,,,,,,
2,,,2,0.3654,True,,,,,0.0,0.0,,,,,,,,,,,,,,,
0,,,2,0.2646,False,,,,,1.0,0.0,,,,,,,,,,,,,,,
1,,,2,0.2646,False,,,,,1.0,0.0,,,,,,,,,,,,,,,
2,,,2,0.2646,False,,,,,1.0,0.0,,,,,,,,,,,,,,,
0,,,2,0.21459999999999999,False,,,,,0.0,1.0,,,,,,,,,,,,,,,
1,,,2,0.21459999999999999,False,,,,,0.0,1.0,,,,,,,,,,,,,,,
2,,,2,0.21459999999999999,False,,,,,0.0,1.0,,,,,,,,,,,,,,,
0,,,2,0.15539999999999998,False,,,,,1.0,1.0,,,,,,,,,,,,,,,
1,,,2,0.15539999999999998,False,,,,,1.0,1.0,,,,,,,,,,,,,,,
2,,,2,0.15539999999999998,False,,,,,1.0,1.0,,,,,,,,,,,,,,,
0,,,0,0.357,False,,,,,,,0.0,0.0,,,,,,,,,,,,,
1,,,0,0.357,True,,,,,,,0.0,0.0,,,,,,,,,,,,,
2,,,0,0.357,True,,,,,,,0.0,0.0,,,,,,,,,,,,,
0,,,0,0.34299999999999997,False,,,,,,,1.0,0.0,,,,,,,,,,,,,
1,,,0,0.34299999999999997,False,,,,,,,1.0,0.0,,,,,,,,,,,,,
2,,,0,0.34299999999999997,False,,,,,,,1.0,0.0,,,,,,,,,,,,,
0,,,0,0.153,False,,,,,,,0.0,1.0,,,,,,,,,,,,,
1,,,0,0.153,False,,,,,,,0.0,1.0,,,,,,,,,,,,,
2,,,0,0.153,False,,,,,,,0.0,1.0,,,,,,,,,,,,,
0,,,0,0.147,True,,,,,,,1.0,1.0,,,,,,,,,,,,,
1,,,0,0.147,True,,,,,,,1.0,1.0,,,,,,,,,,,,,
2,,,0,0.147,False,,,,,,,1.0,1.0,,,,,,,,,,,,,
0,,,1,0.357,False,,,,,,,0.0,0.0,,,,,,,,,,,,,
1,,,1,0.357,True,,,,,,,0.0,0.0,,,,,,,,,,,,,
