S,19,T,prob,Connected,9,4,25,34,24,28,20,29,13,27,8,21,7,17,6,16,5,15,3,12
0,,1,0.21840000000000004,False,,,,,0.0,1.0,,,,,,,,,,,,,,
1,,1,0.21840000000000004,False,,,,,0.0,1.0,,,,,,,,,,,,,,
0,,1,0.06160000000000001,False,,,,,1.0,1.0,,,,,,,,,,,,,,
1,,1,0.06160000000000001,False,,,,,1.0,1.0,,,,,,,,,,,,,,
0,,0,0.48989999999999995,False,,,,,,,0.0,0.0,,,,,,,,,,,,
1,,0,0.48989999999999995,False,,,,,,,0.0,0.0,,,,,,,,,,,,
0,,0,0.20009999999999997,True,,,,,,,1.0,0.0,,,,,,,,,,,,
1,,0,0.20009999999999997,True,,,,,,,1.0,0.0,,,,,,,,,,,,
0,,0,0.2201,False,,,,,,,0.0,1.0,,,,,,,,,,,,
1,,0,0.2201,False,,,,,,,0.0,1.0,,,,,,,,,,,,
0,,0,0.0899,True,,,,,,,1.0,1.0,,,,,,,,,,,,
1,,0,0.0899,True,,,,,,,1.0,1.0,,,,,,,,,,,,
0,,1,0.48989999999999995,False,,,,,,,0.0,0.0,,,,,,,,,,,,
1,,1,0.48989999999999995,False,,,,,,,0.0,0.0,,,,,,,,,,,,
0,,1,0.20009999999999997,False,,,,,,,1.0,0.0,,,,,,,,,,,,
1,,1,0.20009999999999997,False,,,,,,,1.0,0.0,,,,,,,,,,,,
0,,1,0.2201,False,,,,,,,0.0,1.0,,,,,,,,,,,,
1,,1,0.2201,False,,,,,,,0.0,1.0,,,,,,,,,,,,
0,,1,0.0899,False,,,,,,,1.0,1.0,,,,,,,,,,,,
1,,1,0.0899,False,,,,,,,1.0,1.0,,,,,,,,,,,,
0,,0,0.3953,True,,,,,,,,,0.0,0.0,,,,,,,,,,
1,,0,0.3953,True,,,,,,,,,0.0,0.0,,,,,,,,,,
0,,0,0.2747,False,,,,,,,,,1.0,0.0,,,,,,,,,,
1,,0,0.2747,False,,,,,,,,,1.0,0.0,,,,,,,,,,
0,,0,0.1947,False,,,,,,,,,0.0,1.0,,,,,,,,,,
1,,0,0.1947,False,,,,,,,,,0.0,1.0,,,,,,,,,,
0,,0,0.1353,False,,,,,,,,,1.0,1.0,,,,,,,,,,
1,,0,0.1353,False,,,,,,,,,1.0,1.0,,,,,,,,,,
0,,1,0.3953,False,,,,,,,,,0.0,0.0,,,,,,,,,,
1,,1,0.3953,False,,,,,,,,,0.0,0.0,,,,,,,,,,
0,,1,0.2747,False,,,,,,,,,1.0,0.0,,,,,,,,,,
1,,1,0.2747,False,,,,,,,,,1.0,0.0,,,,,,,,,,
0,,1,0.1947,False,,,,,,,,,0.0,1.0,,,,,,,,,,
1,,1,0.1947,False,,,,,,,,,0.0,1.0,,,,,,,,,,
0,,1,0.1353,False,,,,,,,,,1.0,1.0,,,,,,,,,,
1,,1,0.1353,False,,,,,,,,,1.0,1.0,,,,,,,,,,
0,,0,0.44799999999999995,False,,,,,,,,,,,0.0,0.0,,,,,,,,
1,,0,0.44799999999999995,False,,,,,,,,,,,0.0,0.0,,,,,,,,
0,,0,0.252,False,,,,,,,,,,,1.0,0.0,,,,,,,,
1,,0,0.252,False,,,,,,,,,,,1.0,0.0,,,,,,,,
0,,0,0.192,False,,,,,,,,,,,0.0,1.0,,,,,,,,
1,,0,0.192,False,,,,,,,,,,,0.0,1.0,,,,,,,,
0,,0,0.108,False,,,,,,,,,,,1.0,1.0,,,,,,,,
1,,0,0.108,False,,,,,,,,,,,1.0,1.0,,,,,,,,
