S,41,T,prob,Connected,36,27,11,7,42,46,40,43,34,37,32,33,29,30,26,28,22,24,20,23,14,15,12,17,8,13
0,,1,0.039200000000000006,True,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,
1,,1,0.039200000000000006,True,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,
0,,1,0.06440000000000001,False,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,
1,,1,0.06440000000000001,False,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,
0,,1,0.0364,False,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,
1,,1,0.0364,False,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,
0,,0,0.1419,False,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
1,,0,0.1419,False,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
0,,0,0.1881,False,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,
1,,0,0.1881,False,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,
0,,0,0.12469999999999999,False,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,
1,,0,0.12469999999999999,True,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,
0,,0,0.16529999999999997,False,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
1,,0,0.16529999999999997,False,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
0,,0,0.1634,False,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,
1,,0,0.1634,False,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,
0,,0,0.2166,False,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,
1,,0,0.2166,False,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,
0,,1,0.1419,False,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
1,,1,0.1419,False,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
0,,1,0.1881,False,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,
1,,1,0.1881,False,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,
0,,1,0.12469999999999999,False,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,
1,,1,0.12469999999999999,True,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,
0,,1,0.16529999999999997,False,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
1,,1,0.16529999999999997,False,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
0,,1,0.1634,False,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,
1,,1,0.1634,False,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,
0,,1,0.2166,False,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,
1,,1,0.2166,False,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,
0,,0,0.13119999999999998,False,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
1,,0,0.13119999999999998,False,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
0,,0,0.18239999999999998,False,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,
1,,0,0.18239999999999998,False,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,
0,,0,0.0064,False,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,
1,,0,0.0064,False,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,
0,,0,0.2788,False,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,
1,,0,0.2788,False,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,
0,,0,0.3876,False,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
1,,0,0.3876,False,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
0,,0,0.013600000000000001,False,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,
1,,0,0.013600000000000001,False,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,
0,,1,0.13119999999999998,True,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
1,,1,0.13119999999999998,True,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
0,,1,0.18239999999999998,False,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,
1,,1,0.18239999999999998,False,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,
0,,1,0.0064,True,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,
1,,1,0.0064,True,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,
0,,1,0.2788,False,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,
1,,1,0.2788,False,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,
0,,1,0.3876,False,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
1,,1,0.3876,False,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
0,,1,0.013600000000000001,False,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,
1,,1,0.013600000000000001,False,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,
0,,0,0.1456,True,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
