1,0.0,2.0,0,0.162,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,2.0,0,0.162,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,2.0,0,0.126,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,2.0,0,0.126,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0,2.0,0,0.126,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.0,2.0,0,0.012,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,2.0,0,0.012,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,2.0,0,0.012,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,0.0,1,0.20520000000000002,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,1,0.20520000000000002,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,1,0.20520000000000002,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,0.0,1,0.1596,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,0.0,1,0.1596,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0,0.0,1,0.1596,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.0,0.0,1,0.0152,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,0.0,1,0.0152,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,0.0,1,0.0152,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,1.0,1,0.1728,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,1.0,1,0.1728,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,1.0,1,0.1728,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,1.0,1,0.1344,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,1.0,1,0.1344,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0,1.0,1,0.1344,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.0,1.0,1,0.0128,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,1.0,1,0.0128,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,1.0,1,0.0128,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,2.0,1,0.162,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,2.0,1,0.162,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,2.0,1,0.162,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,2.0,1,0.126,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,2.0,1,0.126,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0,2.0,1,0.126,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.0,2.0,1,0.012,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,2.0,1,0.012,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,2.0,1,0.012,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,0.0,2,0.20520000000000002,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,2,0.20520000000000002,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,2,0.20520000000000002,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,0.0,2,0.1596,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,0.0,2,0.1596,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0,0.0,2,0.1596,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.0,0.0,2,0.0152,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,0.0,2,0.0152,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,0.0,2,0.0152,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,1.0,2,0.1728,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,1.0,2,0.1728,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,1.0,2,0.1728,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,1.0,2,0.1344,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,1.0,2,0.1344,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0,1.0,2,0.1344,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.0,1.0,2,0.0128,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,1.0,2,0.0128,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,1.0,2,0.0128,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,2.0,2,0.162,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,2.0,2,0.162,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,2.0,2,0.162,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,2.0,2,0.126,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,2.0,2,0.126,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0,2.0,2,0.126,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.0,2.0,2,0.012,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,2.0,2,0.012,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,2.0,2,0.012,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,0,0.41540000000000005,False,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,0,0.41540000000000005,False,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,0,0.41540000000000005,False,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,0,0.2546,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,0,0.2546,True,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,0,0.2546,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,0,0.2046,False,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,0,0.2046,False,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,0,0.2046,False,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,0,0.1254,False,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,0,0.1254,False,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,0,0.1254,False,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,1,0.41540000000000005,False,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,1,0.41540000000000005,False,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1,0.41540000000000005,False,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,1,0.2546,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,1,0.2546,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1,0.2546,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,1,0.2046,False,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,1,0.2046,False,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1,0.2046,False,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,1,0.1254,False,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,1,0.1254,True,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1,0.1254,False,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,2,0.41540000000000005,False,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2,0.41540000000000005,False,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,2,0.41540000000000005,False,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,2,0.2546,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2,0.2546,True,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,2,0.2546,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,2,0.2046,False,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2,0.2046,False,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,2,0.2046,False,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,2,0.1254,False,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2,0.1254,False,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,2,0.1254,False,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,0,0.23399999999999999,False,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,0,0.23399999999999999,False,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,0,0.23399999999999999,False,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,0,0.366,False,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,0,0.366,False,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,0,0.366,False,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,0,0.15600000000000003,False,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,0,0.15600000000000003,False,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,0,0.15600000000000003,False,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,0,0.244,True,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,0,0.244,False,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,0,0.244,False,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,1,0.23399999999999999,False,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,1,0.23399999999999999,False,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1,0.23399999999999999,False,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,1,0.366,True,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,1,0.366,False,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1,0.366,False,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,1,0.15600000000000003,False,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,1,0.15600000000000003,False,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1,0.15600000000000003,False,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,1,0.244,True,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,1,0.244,False,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1,0.244,False,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,2,0.23399999999999999,False,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2,0.23399999999999999,False,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,2,0.23399999999999999,False,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,2,0.366,True,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2,0.366,False,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,2,0.366,False,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,2,0.15600000000000003,False,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2,0.15600000000000003,False,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,2,0.15600000000000003,False,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,2,0.244,True,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2,0.244,False,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,2,0.244,False,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,0,0.10400000000000001,False,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,,,0,0.10400000000000001,False,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2,,,0,0.10400000000000001,False,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0,,,0,0.312,False,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,,,0,0.312,False,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2,,,0,0.312,False,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0,,,0,0.10400000000000001,True,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,,,0,0.10400000000000001,True,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2,,,0,0.10400000000000001,True,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0,,,0,0.07600000000000001,False,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,,,0,0.07600000000000001,False,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2,,,0,0.07600000000000001,False,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
0,,,0,0.22799999999999998,False,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,,,0,0.22799999999999998,False,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2,,,0,0.22799999999999998,False,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
0,,,0,0.07600000000000001,False,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,,,0,0.07600000000000001,False,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2,,,0,0.07600000000000001,False,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
0,,,0,0.020000000000000004,False,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
1,,,0,0.020000000000000004,False,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2,,,0,0.020000000000000004,False,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
0,,,0,0.06,False,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
1,,,0,0.06,False,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2,,,0,0.06,False,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
0,,,0,0.020000000000000004,False,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
1,,,0,0.020000000000000004,False,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2,,,0,0.020000000000000004,False,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
0,,,1,0.10400000000000001,False,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,,,1,0.10400000000000001,False,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2,,,1,0.10400000000000001,False,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0,,,1,0.312,False,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,,,1,0.312,False,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2,,,1,0.312,False,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0,,,1,0.10400000000000001,True,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,,,1,0.10400000000000001,True,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2,,,1,0.10400000000000001,True,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0,,,1,0.07600000000000001,False,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,,,1,0.07600000000000001,False,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2,,,1,0.07600000000000001,False,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
0,,,1,0.22799999999999998,False,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,,,1,0.22799999999999998,False,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2,,,1,0.22799999999999998,False,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
0,,,1,0.07600000000000001,False,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,,,1,0.07600000000000001,False,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2,,,1,0.07600000000000001,False,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
0,,,1,0.020000000000000004,True,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
1,,,1,0.020000000000000004,True,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2,,,1,0.020000000000000004,True,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
0,,,1,0.06,False,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
1,,,1,0.06,False,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2,,,1,0.06,False,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
0,,,1,0.020000000000000004,True,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
1,,,1,0.020000000000000004,True,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2,,,1,0.020000000000000004,True,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
0,,,2,0.10400000000000001,False,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,,,2,0.10400000000000001,False,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2,,,2,0.10400000000000001,False,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0,,,2,0.312,False,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,,,2,0.312,False,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2,,,2,0.312,False,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0,,,2,0.10400000000000001,True,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,,,2,0.10400000000000001,True,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2,,,2,0.10400000000000001,True,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0,,,2,0.07600000000000001,True,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,,,2,0.07600000000000001,True,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2,,,2,0.07600000000000001,True,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
0,,,2,0.22799999999999998,True,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,,,2,0.22799999999999998,False,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2,,,2,0.22799999999999998,True,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
0,,,2,0.07600000000000001,True,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,,,2,0.07600000000000001,True,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2,,,2,0.07600000000000001,True,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
0,,,2,0.020000000000000004,True,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
1,,,2,0.020000000000000004,True,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2,,,2,0.020000000000000004,True,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
0,,,2,0.06,False,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
1,,,2,0.06,False,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2,,,2,0.06,False,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
0,,,2,0.020000000000000004,True,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
1,,,2,0.020000000000000004,True,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2,,,2,0.020000000000000004,True,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
0,,,0,0.279,False,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,,,0,0.279,False,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2,,,0,0.279,False,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
0,,,0,0.341,True,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,,,0,0.341,False,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
2,,,0,0.341,True,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
0,,,0,0.171,False,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
1,,,0,0.171,False,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
2,,,0,0.171,False,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
0,,,0,0.20900000000000002,True,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
1,,,0,0.20900000000000002,False,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
2,,,0,0.20900000000000002,True,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
0,,,1,0.279,False,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,,,1,0.279,False,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2,,,1,0.279,False,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
0,,,1,0.341,False,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,,,1,0.341,False,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
2,,,1,0.341,False,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
0,,,1,0.171,False,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
1,,,1,0.171,False,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
2,,,1,0.171,False,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
0,,,1,0.20900000000000002,True,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
1,,,1,0.20900000000000002,False,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
2,,,1,0.20900000000000002,True,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
0,,,2,0.279,False,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,,,2,0.279,False,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2,,,2,0.279,False,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
0,,,2,0.341,True,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,,,2,0.341,False,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
2,,,2,0.341,True,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
0,,,2,0.171,False,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
1,,,2,0.171,False,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
2,,,2,0.171,False,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
0,,,2,0.20900000000000002,True,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
1,,,2,0.20900000000000002,False,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
2,,,2,0.20900000000000002,True,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
0,,,0,0.10400000000000001,False,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,
1,,,0,0.10400000000000001,False,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,
2,,,0,0.10400000000000001,False,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,
0,,,0,0.07020000000000001,True,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,
1,,,0,0.07020000000000001,True,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,
2,,,0,0.07020000000000001,False,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,
0,,,0,0.0858,True,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,
1,,,0,0.0858,False,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,
2,,,0,0.0858,True,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,
0,,,0,0.128,False,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,
1,,,0,0.128,False,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,
2,,,0,0.128,False,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,
