0,,,0,0.08960000000000001,False,,,,,1.0,1.0,,,,,,,
1,,,0,0.08960000000000001,False,,,,,1.0,1.0,,,,,,,
0,,,1,0.48960000000000004,True,,,,,0.0,0.0,,,,,,,
1,,,1,0.48960000000000004,True,,,,,0.0,0.0,,,,,,,
0,,,1,0.2304,True,,,,,1.0,0.0,,,,,,,
1,,,1,0.2304,True,,,,,1.0,0.0,,,,,,,
0,,,1,0.19040000000000004,True,,,,,0.0,1.0,,,,,,,
1,,,1,0.19040000000000004,True,,,,,0.0,1.0,,,,,,,
0,,,1,0.08960000000000001,False,,,,,1.0,1.0,,,,,,,
1,,,1,0.08960000000000001,False,,,,,1.0,1.0,,,,,,,
0,,,0,0.504,True,,,,,,,0.0,0.0,,,,,
1,,,0,0.504,False,,,,,,,0.0,0.0,,,,,
0,,,0,0.216,False,,,,,,,1.0,0.0,,,,,
1,,,0,0.216,True,,,,,,,1.0,0.0,,,,,
0,,,0,0.196,True,,,,,,,0.0,1.0,,,,,
1,,,0,0.196,False,,,,,,,0.0,1.0,,,,,
0,,,0,0.084,False,,,,,,,1.0,1.0,,,,,
1,,,0,0.084,False,,,,,,,1.0,1.0,,,,,
0,,,1,0.504,True,,,,,,,0.0,0.0,,,,,
1,,,1,0.504,False,,,,,,,0.0,0.0,,,,,
0,,,1,0.216,False,,,,,,,1.0,0.0,,,,,
1,,,1,0.216,True,,,,,,,1.0,0.0,,,,,
0,,,1,0.196,True,,,,,,,0.0,1.0,,,,,
1,,,1,0.196,False,,,,,,,0.0,1.0,,,,,
0,,,1,0.084,False,,,,,,,1.0,1.0,,,,,
1,,,1,0.084,False,,,,,,,1.0,1.0,,,,,
0,,,0,0.34650000000000003,True,,,,,,,,,0.0,0.0,,,
1,,,0,0.34650000000000003,True,,,,,,,,,0.0,0.0,,,
0,,,0,0.20350000000000001,False,,,,,,,,,1.0,0.0,,,
1,,,0,0.20350000000000001,False,,,,,,,,,1.0,0.0,,,
0,,,0,0.28350000000000003,True,,,,,,,,,0.0,1.0,,,
1,,,0,0.28350000000000003,True,,,,,,,,,0.0,1.0,,,
0,,,0,0.1665,True,,,,,,,,,1.0,1.0,,,
1,,,0,0.1665,True,,,,,,,,,1.0,1.0,,,
0,,,1,0.34650000000000003,True,,,,,,,,,0.0,0.0,,,
1,,,1,0.34650000000000003,True,,,,,,,,,0.0,0.0,,,
0,,,1,0.20350000000000001,False,,,,,,,,,1.0,0.0,,,
1,,,1,0.20350000000000001,False,,,,,,,,,1.0,0.0,,,
0,,,1,0.28350000000000003,True,,,,,,,,,0.0,1.0,,,
1,,,1,0.28350000000000003,True,,,,,,,,,0.0,1.0,,,
0,,,1,0.1665,True,,,,,,,,,1.0,1.0,,,
1,,,1,0.1665,True,,,,,,,,,1.0,1.0,,,
0,,,0,0.217415,False,,,,,,,,,,,0.0,0.0,0.0
1,,,0,0.217415,False,,,,,,,,,,,0.0,0.0,0.0
0,,,0,0.10708500000000001,False,,,,,,,,,,,1.0,0.0,0.0
1,,,0,0.10708500000000001,False,,,,,,,,,,,1.0,0.0,0.0
0,,,0,0.15108500000000002,False,,,,,,,,,,,0.0,1.0,0.0
1,,,0,0.15108500000000002,False,,,,,,,,,,,0.0,1.0,0.0
0,,,0,0.07441500000000001,False,,,,,,,,,,,1.0,1.0,0.0
1,,,0,0.07441500000000001,False,,,,,,,,,,,1.0,1.0,0.0
0,,,0,0.177885,False,,,,,,,,,,,0.0,0.0,1.0
1,,,0,0.177885,False,,,,,,,,,,,0.0,0.0,1.0
0,,,0,0.08761500000000001,False,,,,,,,,,,,1.0,0.0,1.0
1,,,0,0.08761500000000001,False,,,,,,,,,,,1.0,0.0,1.0
0,,,0,0.123615,False,,,,,,,,,,,0.0,1.0,1.0
1,,,0,0.123615,False,,,,,,,,,,,0.0,1.0,1.0
0,,,0,0.060885,False,,,,,,,,,,,1.0,1.0,1.0
1,,,0,0.060885,False,,,,,,,,,,,1.0,1.0,1.0
0,,,1,0.217415,False,,,,,,,,,,,0.0,0.0,0.0
1,,,1,0.217415,False,,,,,,,,,,,0.0,0.0,0.0
0,,,1,0.10708500000000001,False,,,,,,,,,,,1.0,0.0,0.0
1,,,1,0.10708500000000001,False,,,,,,,,,,,1.0,0.0,0.0
0,,,1,0.15108500000000002,False,,,,,,,,,,,0.0,1.0,0.0
1,,,1,0.15108500000000002,False,,,,,,,,,,,0.0,1.0,0.0
0,,,1,0.07441500000000001,False,,,,,,,,,,,1.0,1.0,0.0
1,,,1,0.07441500000000001,False,,,,,,,,,,,1.0,1.0,0.0
0,,,1,0.177885,False,,,,,,,,,,,0.0,0.0,1.0
1,,,1,0.177885,False,,,,,,,,,,,0.0,0.0,1.0
0,,,1,0.08761500000000001,False,,,,,,,,,,,1.0,0.0,1.0
1,,,1,0.08761500000000001,False,,,,,,,,,,,1.0,0.0,1.0
0,,,1,0.123615,False,,,,,,,,,,,0.0,1.0,1.0
1,,,1,0.123615,False,,,,,,,,,,,0.0,1.0,1.0
0,,,1,0.060885,False,,,,,,,,,,,1.0,1.0,1.0
1,,,1,0.060885,False,,,,,,,,,,,1.0,1.0,1.0
