S,62,T,prob,Connected,61,17,58,59,51,56,50,55,44,54,42,53,41,52,33,43,21,34,20,40,9,37,5,35,1,31,27,48,49
1,,0,0.0506,False,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.28080000000000005,False,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.28080000000000005,True,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.1998,False,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.1998,False,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.0594,False,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.0594,True,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.23920000000000002,False,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.23920000000000002,False,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.17020000000000002,True,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.17020000000000002,False,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.0506,False,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.0506,True,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.28080000000000005,False,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.28080000000000005,False,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.1998,False,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.1998,False,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.0594,False,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.0594,False,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.23920000000000002,False,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.23920000000000002,False,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.17020000000000002,True,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.17020000000000002,False,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.0506,False,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.0506,True,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.28080000000000005,False,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.28080000000000005,False,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.1998,False,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.1998,False,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.0594,False,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.0594,False,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.29680000000000006,False,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,,0,0.29680000000000006,False,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
0,,0,0.11200000000000002,False,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,,0,0.11200000000000002,False,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
0,,0,0.15120000000000003,False,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,,0,0.15120000000000003,False,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,
0,,0,0.23320000000000002,False,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
1,,0,0.23320000000000002,False,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
0,,0,0.08800000000000001,True,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
1,,0,0.08800000000000001,True,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
0,,0,0.1188,True,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
1,,0,0.1188,True,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
0,,1,0.29680000000000006,False,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,,1,0.29680000000000006,False,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
0,,1,0.11200000000000002,False,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,,1,0.11200000000000002,False,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
0,,1,0.15120000000000003,True,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,,1,0.15120000000000003,True,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,
0,,1,0.23320000000000002,False,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
1,,1,0.23320000000000002,False,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
0,,1,0.08800000000000001,True,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
1,,1,0.08800000000000001,True,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
0,,1,0.1188,True,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
1,,1,0.1188,True,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
0,,2,0.29680000000000006,False,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,,2,0.29680000000000006,False,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
0,,2,0.11200000000000002,False,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,,2,0.11200000000000002,False,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
0,,2,0.15120000000000003,True,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,,2,0.15120000000000003,True,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,
