S,57,T,prob,Connected,43,40,35,31,23,48,52,47,56,46,51,38,39,34,37,33,36,26,29,19,21,18,20,11,15,4,5
2,,0,0.13299999999999998,False,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.24700000000000003,False,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.24700000000000003,False,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
2,,0,0.24700000000000003,False,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.217,False,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.217,False,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2,,1,0.217,False,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.403,False,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.403,False,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
2,,1,0.403,False,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.13299999999999998,False,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.13299999999999998,False,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,
2,,1,0.13299999999999998,False,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.24700000000000003,False,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.24700000000000003,False,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
2,,1,0.24700000000000003,False,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.1482,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
1,,0,0.1482,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
2,,0,0.1482,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
0,,0,0.2318,False,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,
1,,0,0.2318,False,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,
2,,0,0.2318,False,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,
0,,0,0.15600000000000003,False,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,
1,,0,0.15600000000000003,False,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,
2,,0,0.15600000000000003,False,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,
0,,0,0.244,True,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
1,,0,0.244,True,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
2,,0,0.244,False,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
0,,0,0.0858,False,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,
1,,0,0.0858,False,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,
2,,0,0.0858,False,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,
0,,0,0.13419999999999999,False,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,
1,,0,0.13419999999999999,False,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,
2,,0,0.13419999999999999,False,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,
0,,1,0.1482,True,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
1,,1,0.1482,True,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
2,,1,0.1482,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
0,,1,0.2318,True,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,
1,,1,0.2318,True,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,
2,,1,0.2318,False,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,
0,,1,0.15600000000000003,False,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,
1,,1,0.15600000000000003,False,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,
2,,1,0.15600000000000003,False,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,
0,,1,0.244,True,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
1,,1,0.244,True,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
2,,1,0.244,False,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
0,,1,0.0858,False,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,
1,,1,0.0858,False,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,
2,,1,0.0858,False,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,
0,,1,0.13419999999999999,False,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,
1,,1,0.13419999999999999,False,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,
2,,1,0.13419999999999999,False,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,
0,,0,0.3234,False,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
1,,0,0.3234,False,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
2,,0,0.3234,True,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
0,,0,0.1666,False,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,
1,,0,0.1666,False,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,
2,,0,0.1666,False,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,
0,,0,0.3366,False,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,
