S,48,T,prob,Connected,46,44,43,36,33,22,19,18,13,3,40,41,37,38,30,31,27,29,20,28,14,25,8,24,2,16,1,17
0,,1,0.0861,False,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,
1,,1,0.0861,False,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,
0,,1,0.14759999999999998,False,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,
1,,1,0.14759999999999998,True,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,
0,,1,0.1978,False,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
1,,1,0.1978,False,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
0,,1,0.0966,False,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
1,,1,0.0966,False,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
0,,1,0.1656,False,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,
1,,1,0.1656,False,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,
0,,1,0.0559,False,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
1,,1,0.0559,False,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
0,,1,0.0273,False,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
1,,1,0.0273,False,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
0,,1,0.0468,False,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
1,,1,0.0468,False,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
0,,0,0.1276,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
1,,0,0.1276,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
0,,0,0.0924,False,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,
1,,0,0.0924,False,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,
0,,0,0.145,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,
1,,0,0.145,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,
0,,0,0.105,False,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
1,,0,0.105,True,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
0,,0,0.3074,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,
1,,0,0.3074,True,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,
0,,0,0.2226,False,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,
1,,0,0.2226,True,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,
0,,1,0.1276,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
1,,1,0.1276,True,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
0,,1,0.0924,False,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,
1,,1,0.0924,False,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,
0,,1,0.145,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,
1,,1,0.145,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,
0,,1,0.105,False,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
1,,1,0.105,False,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
0,,1,0.3074,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,
1,,1,0.3074,True,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,
0,,1,0.2226,False,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,
1,,1,0.2226,True,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,
0,,0,0.05,False,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
1,,0,0.05,False,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
0,,0,0.2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
1,,0,0.2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
0,,0,0.10600000000000001,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
1,,0,0.10600000000000001,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
0,,0,0.42400000000000004,True,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
1,,0,0.42400000000000004,False,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
0,,0,0.044000000000000004,False,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
1,,0,0.044000000000000004,False,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
0,,0,0.17600000000000002,True,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0
1,,0,0.17600000000000002,False,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0
0,,1,0.05,False,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
1,,1,0.05,False,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
0,,1,0.2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
1,,1,0.2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
0,,1,0.10600000000000001,False,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
