S,34,T,prob,Connected,30,26,25,17,15,7,5,31,32,21,28,20,24,9,19,4,16,3,14
1,,1,0.47,True,,,1.0,,,,,,,,,,,,,,,,
0,,0,0.72,True,,,,0.0,,,,,,,,,,,,,,,
1,,0,0.72,True,,,,0.0,,,,,,,,,,,,,,,
0,,0,0.28,False,,,,1.0,,,,,,,,,,,,,,,
1,,0,0.28,True,,,,1.0,,,,,,,,,,,,,,,
0,,1,0.72,True,,,,0.0,,,,,,,,,,,,,,,
1,,1,0.72,True,,,,0.0,,,,,,,,,,,,,,,
0,,1,0.28,False,,,,1.0,,,,,,,,,,,,,,,
1,,1,0.28,True,,,,1.0,,,,,,,,,,,,,,,
0,,0,0.72,False,,,,,0.0,,,,,,,,,,,,,,
1,,0,0.72,False,,,,,0.0,,,,,,,,,,,,,,
0,,0,0.28,False,,,,,1.0,,,,,,,,,,,,,,
1,,0,0.28,False,,,,,1.0,,,,,,,,,,,,,,
0,,1,0.72,False,,,,,0.0,,,,,,,,,,,,,,
1,,1,0.72,True,,,,,0.0,,,,,,,,,,,,,,
0,,1,0.28,True,,,,,1.0,,,,,,,,,,,,,,
1,,1,0.28,True,,,,,1.0,,,,,,,,,,,,,,
0,,0,0.69,True,,,,,,0.0,,,,,,,,,,,,,
1,,0,0.69,True,,,,,,0.0,,,,,,,,,,,,,
0,,0,0.31,False,,,,,,1.0,,,,,,,,,,,,,
1,,0,0.31,True,,,,,,1.0,,,,,,,,,,,,,
0,,1,0.69,True,,,,,,0.0,,,,,,,,,,,,,
1,,1,0.69,True,,,,,,0.0,,,,,,,,,,,,,
0,,1,0.31,False,,,,,,1.0,,,,,,,,,,,,,
1,,1,0.31,True,,,,,,1.0,,,,,,,,,,,,,
0,,0,0.72,False,,,,,,,0.0,,,,,,,,,,,,
1,,0,0.72,False,,,,,,,0.0,,,,,,,,,,,,
0,,0,0.28,True,,,,,,,1.0,,,,,,,,,,,,
1,,0,0.28,False,,,,,,,1.0,,,,,,,,,,,,
0,,1,0.72,False,,,,,,,0.0,,,,,,,,,,,,
1,,1,0.72,False,,,,,,,0.0,,,,,,,,,,,,
0,,1,0.28,True,,,,,,,1.0,,,,,,,,,,,,
1,,1,0.28,False,,,,,,,1.0,,,,,,,,,,,,
0,,0,0.48510000000000003,False,,,,,,,,0.0,0.0,,,,,,,,,,
1,,0,0.48510000000000003,False,,,,,,,,0.0,0.0,,,,,,,,,,
0,,0,0.1449,True,,,,,,,,1.0,0.0,,,,,,,,,,
1,,0,0.1449,True,,,,,,,,1.0,0.0,,,,,,,,,,
0,,0,0.2849,False,,,,,,,,0.0,1.0,,,,,,,,,,
1,,0,0.2849,False,,,,,,,,0.0,1.0,,,,,,,,,,
0,,0,0.08510000000000001,False,,,,,,,,1.0,1.0,,,,,,,,,,
1,,0,0.08510000000000001,False,,,,,,,,1.0,1.0,,,,,,,,,,
0,,1,0.48510000000000003,False,,,,,,,,0.0,0.0,,,,,,,,,,
1,,1,0.48510000000000003,False,,,,,,,,0.0,0.0,,,,,,,,,,
0,,1,0.1449,True,,,,,,,,1.0,0.0,,,,,,,,,,
1,,1,0.1449,True,,,,,,,,1.0,0.0,,,,,,,,,,
0,,1,0.2849,False,,,,,,,,0.0,1.0,,,,,,,,,,
1,,1,0.2849,False,,,,,,,,0.0,1.0,,,,,,,,,,
0,,1,0.08510000000000001,False,,,,,,,,1.0,1.0,,,,,,,,,,
1,,1,0.08510000000000001,False,,,,,,,,1.0,1.0,,,,,,,,,,
0,,0,0.5226000000000001,True,,,,,,,,,,0.0,0.0,,,,,,,,
1,,0,0.5226000000000001,False,,,,,,,,,,0.0,0.0,,,,,,,,
0,,0,0.2574,True,,,,,,,,,,1.0,0.0,,,,,,,,
1,,0,0.2574,True,,,,,,,,,,1.0,0.0,,,,,,,,
0,,0,0.1474,True,,,,,,,,,,0.0,1.0,,,,,,,,
1,,0,0.1474,False,,,,,,,,,,0.0,1.0,,,,,,,,
0,,0,0.0726,True,,,,,,,,,,1.0,1.0,,,,,,,,
1,,0,0.0726,True,,,,,,,,,,1.0,1.0,,,,,,,,
0,,1,0.5226000000000001,True,,,,,,,,,,0.0,0.0,,,,,,,,
1,,1,0.5226000000000001,False,,,,,,,,,,0.0,0.0,,,,,,,,
0,,1,0.2574,True,,,,,,,,,,1.0,0.0,,,,,,,,
1,,1,0.2574,True,,,,,,,,,,1.0,0.0,,,,,,,,
0,,1,0.1474,True,,,,,,,,,,0.0,1.0,,,,,,,,
1,,1,0.1474,False,,,,,,,,,,0.0,1.0,,,,,,,,
0,,1,0.0726,True,,,,,,,,,,1.0,1.0,,,,,,,,
1,,1,0.0726,True,,,,,,,,,,1.0,1.0,,,,,,,,
0,,0,0.5538,False,,,,,,,,,,,,0.0,0.0,,,,,,
1,,0,0.5538,False,,,,,,,,,,,,0.0,0.0,,,,,,
0,,0,0.1562,False,,,,,,,,,,,,1.0,0.0,,,,,,
1,,0,0.1562,False,,,,,,,,,,,,1.0,0.0,,,,,,
0,,0,0.22619999999999998,False,,,,,,,,,,,,0.0,1.0,,,,,,
1,,0,0.22619999999999998,False,,,,,,,,,,,,0.0,1.0,,,,,,
0,,0,0.0638,True,,,,,,,,,,,,1.0,1.0,,,,,,
1,,0,0.0638,True,,,,,,,,,,,,1.0,1.0,,,,,,
