S,34,T,prob,Connected,32,31,30,28,23,14,13,10,8,7,3,29,33,26,27,20,24,19,22,2,6
1,,1,0.14159999999999998,True,,,,,,,,,,,,0.0,1.0,,,,,,,,
0,,1,0.09839999999999999,True,,,,,,,,,,,,1.0,1.0,,,,,,,,
1,,1,0.09839999999999999,True,,,,,,,,,,,,1.0,1.0,,,,,,,,
0,,0,0.5852,False,,,,,,,,,,,,,,0.0,0.0,,,,,,
1,,0,0.5852,False,,,,,,,,,,,,,,0.0,0.0,,,,,,
0,,0,0.1848,False,,,,,,,,,,,,,,1.0,0.0,,,,,,
1,,0,0.1848,False,,,,,,,,,,,,,,1.0,0.0,,,,,,
0,,0,0.1748,True,,,,,,,,,,,,,,0.0,1.0,,,,,,
1,,0,0.1748,True,,,,,,,,,,,,,,0.0,1.0,,,,,,
0,,0,0.0552,True,,,,,,,,,,,,,,1.0,1.0,,,,,,
1,,0,0.0552,False,,,,,,,,,,,,,,1.0,1.0,,,,,,
0,,1,0.5852,False,,,,,,,,,,,,,,0.0,0.0,,,,,,
1,,1,0.5852,False,,,,,,,,,,,,,,0.0,0.0,,,,,,
0,,1,0.1848,False,,,,,,,,,,,,,,1.0,0.0,,,,,,
1,,1,0.1848,False,,,,,,,,,,,,,,1.0,0.0,,,,,,
0,,1,0.1748,True,,,,,,,,,,,,,,0.0,1.0,,,,,,
1,,1,0.1748,True,,,,,,,,,,,,,,0.0,1.0,,,,,,
0,,1,0.0552,True,,,,,,,,,,,,,,1.0,1.0,,,,,,
1,,1,0.0552,False,,,,,,,,,,,,,,1.0,1.0,,,,,,
0,,0,0.3825,True,,,,,,,,,,,,,,,,0.0,0.0,,,,
1,,0,0.3825,True,,,,,,,,,,,,,,,,0.0,0.0,,,,
0,,0,0.1275,True,,,,,,,,,,,,,,,,1.0,0.0,,,,
1,,0,0.1275,True,,,,,,,,,,,,,,,,1.0,0.0,,,,
0,,0,0.3675,True,,,,,,,,,,,,,,,,0.0,1.0,,,,
1,,0,0.3675,True,,,,,,,,,,,,,,,,0.0,1.0,,,,
0,,0,0.1225,True,,,,,,,,,,,,,,,,1.0,1.0,,,,
1,,0,0.1225,True,,,,,,,,,,,,,,,,1.0,1.0,,,,
0,,1,0.3825,True,,,,,,,,,,,,,,,,0.0,0.0,,,,
1,,1,0.3825,True,,,,,,,,,,,,,,,,0.0,0.0,,,,
0,,1,0.1275,True,,,,,,,,,,,,,,,,1.0,0.0,,,,
1,,1,0.1275,True,,,,,,,,,,,,,,,,1.0,0.0,,,,
0,,1,0.3675,True,,,,,,,,,,,,,,,,0.0,1.0,,,,
1,,1,0.3675,True,,,,,,,,,,,,,,,,0.0,1.0,,,,
0,,1,0.1225,True,,,,,,,,,,,,,,,,1.0,1.0,,,,
1,,1,0.1225,True,,,,,,,,,,,,,,,,1.0,1.0,,,,
