S,32,33,T,prob,Connected,22,26,10,11,9,18,8,15,5,14,3,13
0,,,0,0.36040000000000005,True,,,,,,,0.0,0.0,,,,
1,,,0,0.36040000000000005,False,,,,,,,0.0,0.0,,,,
0,,,0,0.1696,False,,,,,,,1.0,0.0,,,,
1,,,0,0.1696,True,,,,,,,1.0,0.0,,,,
0,,,0,0.3196,False,,,,,,,0.0,1.0,,,,
1,,,0,0.3196,False,,,,,,,0.0,1.0,,,,
0,,,0,0.1504,False,,,,,,,1.0,1.0,,,,
1,,,0,0.1504,False,,,,,,,1.0,1.0,,,,
0,,,1,0.36040000000000005,True,,,,,,,0.0,0.0,,,,
1,,,1,0.36040000000000005,False,,,,,,,0.0,0.0,,,,
0,,,1,0.1696,False,,,,,,,1.0,0.0,,,,
1,,,1,0.1696,True,,,,,,,1.0,0.0,,,,
0,,,1,0.3196,False,,,,,,,0.0,1.0,,,,
1,,,1,0.3196,False,,,,,,,0.0,1.0,,,,
0,,,1,0.1504,False,,,,,,,1.0,1.0,,,,
1,,,1,0.1504,False,,,,,,,1.0,1.0,,,,
0,,,0,0.5236000000000001,False,,,,,,,,,0.0,0.0,,
1,,,0,0.5236000000000001,False,,,,,,,,,0.0,0.0,,
0,,,0,0.2464,True,,,,,,,,,1.0,0.0,,
1,,,0,0.2464,False,,,,,,,,,1.0,0.0,,
0,,,0,0.1564,True,,,,,,,,,0.0,1.0,,
1,,,0,0.1564,True,,,,,,,,,0.0,1.0,,
0,,,0,0.0736,True,,,,,,,,,1.0,1.0,,
1,,,0,0.0736,False,,,,,,,,,1.0,1.0,,
0,,,1,0.5236000000000001,False,,,,,,,,,0.0,0.0,,
1,,,1,0.5236000000000001,False,,,,,,,,,0.0,0.0,,
0,,,1,0.2464,True,,,,,,,,,1.0,0.0,,
1,,,1,0.2464,False,,,,,,,,,1.0,0.0,,
0,,,1,0.1564,True,,,,,,,,,0.0,1.0,,
1,,,1,0.1564,True,,,,,,,,,0.0,1.0,,
0,,,1,0.0736,True,,,,,,,,,1.0,1.0,,
1,,,1,0.0736,False,,,,,,,,,1.0,1.0,,
0,,,0,0.6000000000000001,False,,,,,,,,,,,0.0,0.0
1,,,0,0.6000000000000001,False,,,,,,,,,,,0.0,0.0
0,,,0,0.2,False,,,,,,,,,,,1.0,0.0
1,,,0,0.2,False,,,,,,,,,,,1.0,0.0
0,,,0,0.15000000000000002,False,,,,,,,,,,,0.0,1.0
1,,,0,0.15000000000000002,True,,,,,,,,,,,0.0,1.0
0,,,0,0.05,False,,,,,,,,,,,1.0,1.0
1,,,0,0.05,True,,,,,,,,,,,1.0,1.0
0,,,1,0.6000000000000001,False,,,,,,,,,,,0.0,0.0
