S,51,T,prob,Connected,49,47,46,45,37,34,31,27,23,21,20,19,17,16,15,14,4,3,2,43,50,25,33,24,32,5,18,35,39,41
0,,0,0.58,True,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
1,,0,0.58,True,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
0,,0,0.02,False,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
1,,0,0.02,False,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
0,,1,0.4,True,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
1,,1,0.4,True,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
0,,1,0.58,True,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
1,,1,0.58,True,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
0,,1,0.02,False,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
1,,1,0.02,False,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
0,,0,0.55,False,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.55,False,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.45,False,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.45,True,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.55,True,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.55,True,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.45,False,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.45,True,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.6,True,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1,,0,0.6,True,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
0,,0,0.36,False,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
1,,0,0.36,False,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
0,,0,0.04,True,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
1,,0,0.04,True,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
0,,1,0.6,True,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1,,1,0.6,True,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
0,,1,0.36,False,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
1,,1,0.36,False,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
0,,1,0.04,True,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
1,,1,0.04,True,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
0,,0,0.21,True,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
1,,0,0.21,False,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
0,,0,0.79,False,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
1,,0,0.79,False,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
0,,1,0.21,False,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
1,,1,0.21,False,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
0,,1,0.79,True,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
1,,1,0.79,True,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
0,,0,0.56,True,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1,,0,0.56,True,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
0,,0,0.44,False,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
1,,0,0.44,True,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
0,,1,0.56,True,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1,,1,0.56,True,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
0,,1,0.44,False,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
1,,1,0.44,True,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
0,,0,0.33,True,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
1,,0,0.33,False,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
0,,0,0.43,False,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
1,,0,0.43,False,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
0,,0,0.24,True,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
1,,0,0.24,True,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
0,,1,0.33,True,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
1,,1,0.33,False,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
0,,1,0.43,False,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
1,,1,0.43,False,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
0,,1,0.24,True,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
1,,1,0.24,True,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
0,,0,0.36,False,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
1,,0,0.36,True,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
0,,0,0.64,False,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1,,0,0.64,True,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
0,,1,0.36,False,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
1,,1,0.36,True,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
0,,1,0.64,False,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1,,1,0.64,True,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
0,,0,0.49,False,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
1,,0,0.49,False,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
0,,0,0.51,False,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
1,,0,0.51,False,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
0,,1,0.49,False,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
1,,1,0.49,False,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
0,,1,0.51,False,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
1,,1,0.51,False,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
0,,0,0.47,False,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
1,,0,0.47,False,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
0,,0,0.53,True,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
1,,0,0.53,False,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
0,,1,0.47,False,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
1,,1,0.47,False,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
0,,1,0.53,True,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
1,,1,0.53,False,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
0,,0,0.69,True,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
1,,0,0.69,True,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
0,,0,0.31,True,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
1,,0,0.31,False,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
0,,1,0.69,True,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
1,,1,0.69,True,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
0,,1,0.31,True,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
1,,1,0.31,False,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
0,,0,0.4,False,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
1,,0,0.4,False,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
0,,0,0.41,True,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
1,,0,0.41,True,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
0,,0,0.19,False,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
1,,0,0.19,False,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
